datetime	Depth_meter	Water_Temperature_celsius
2014-05-04	0	8.781
2014-05-04	0.5	8.525
2014-05-04	1	8.179
2014-05-04	1.5	8.062
2014-05-04	2	8.06
2014-05-04	3	7.806
2014-05-04	4	7.372
2014-05-04	5	7.352
2014-05-04	6	7.23
2014-05-04	7	7.006
2014-05-04	8	6.968
2014-05-04	9	6.853
2014-05-04	10	6.902
2014-05-04	11	6.84
2014-05-04	12	6.939
2014-05-04	13	6.821
2014-05-04	14	6.884
2014-05-04	15	6.968
2014-05-04	16	6.863
2014-05-04	17	6.811
2014-05-04	18	6.859
2014-05-04	19	6.81
2014-05-04	20	6.795
2014-05-05	0	7.432
2014-05-05	0.5	7.363
2014-05-05	1	7.404
2014-05-05	1.5	7.462
2014-05-05	2	7.542
2014-05-05	3	7.409
2014-05-05	4	7.228
2014-05-05	5	7.373
2014-05-05	6	7.355
2014-05-05	7	7.225
2014-05-05	8	7.258
2014-05-05	9	7.179
2014-05-05	10	7.221
2014-05-05	11	7.137
2014-05-05	12	7.195
2014-05-05	13	7.035
2014-05-05	14	7.063
2014-05-05	15	7.128
2014-05-05	16	6.98
2014-05-05	17	6.891
2014-05-05	18	6.904
2014-05-05	19	6.821
2014-05-05	20	6.793
2014-05-06	0	7.489
2014-05-06	0.5	7.404
2014-05-06	1	7.448
2014-05-06	1.5	7.506
2014-05-06	2	7.587
2014-05-06	3	7.456
2014-05-06	4	7.288
2014-05-06	5	7.446
2014-05-06	6	7.431
2014-05-06	7	7.325
2014-05-06	8	7.373
2014-05-06	9	7.323
2014-05-06	10	7.403
2014-05-06	11	7.345
2014-05-06	12	7.441
2014-05-06	13	7.32
2014-05-06	14	7.359
2014-05-06	15	7.439
2014-05-06	16	7.31
2014-05-06	17	7.209
2014-05-06	18	7.205
2014-05-06	19	7.102
2014-05-06	20	7.088
2014-05-07	0	7.707
2014-05-07	0.5	7.567
2014-05-07	1	7.621
2014-05-07	1.5	7.668
2014-05-07	2	7.745
2014-05-07	3	7.616
2014-05-07	4	7.444
2014-05-07	5	7.61
2014-05-07	6	7.592
2014-05-07	7	7.486
