datetime,Flow_metersCubedPerSecond,Water_Temperature_celsius,Salinity_practicalSalinityUnits
2014-01-01,58,,0
2014-01-02,54,,0
2014-01-03,54,,0
2014-01-04,58,,0
2014-01-05,55,,0
2014-01-06,48,,0
2014-01-07,54,,0
2014-01-08,60,,0
2014-01-09,68,,0
2014-01-10,76,,0
2014-01-11,85.4,,0
2014-01-12,93.7,,0
2014-01-13,97.4,,0
2014-01-14,81.3,,0
2014-01-15,73.9,,0
2014-01-16,68.9,,0
2014-01-17,64.7,,0
2014-01-18,62.9,,0
2014-01-19,61.5,,0
2014-01-20,55.5,,0
2014-01-21,62.4,,0
2014-01-22,60.6,,0
2014-01-23,59.7,,0
2014-01-24,62.4,,0
2014-01-25,64.7,,0
2014-01-26,68.4,,0
2014-01-27,70.7,,0
2014-01-28,71.6,,0
2014-01-29,63,,0
2014-01-30,65,,0
2014-01-31,58.3,,0
2014-02-01,58.8,,0
2014-02-02,59.2,,0
2014-02-03,55.5,,0
2014-02-04,57.8,,0
2014-02-05,55.5,,0
2014-02-06,52.8,,0
2014-02-07,54.6,,0
2014-02-08,52.8,,0
2014-02-09,53.2,,0
2014-02-10,50.5,,0
2014-02-11,53.7,,0
2014-02-12,53.7,,0
2014-02-13,58.3,,0
2014-02-14,55.1,,0
2014-02-15,50,,0
2014-02-16,53.2,,0
2014-02-17,50,,0
2014-02-18,46.8,,0
2014-02-19,50,,0
2014-02-20,38,,0
2014-02-21,44,,0
2014-02-22,46,,0
2014-02-23,44,,0
2014-02-24,36,,0
2014-02-25,28,,0
2014-02-26,28,,0
2014-02-27,24,,0
2014-02-28,32,,0
2014-03-01,20,,0
2014-03-02,18,,0
2014-03-03,22,,0
2014-03-04,24,,0
2014-03-05,22,,0
2014-03-06,20,,0
2014-03-07,20,,0
2014-03-08,16,,0
2014-03-09,18,,0
2014-03-10,12,,0
2014-03-11,8.03,,0
2014-03-12,25,,0
2014-03-13,21,,0
2014-03-14,59.7,,0
2014-03-15,197,,0
2014-03-16,363,,0
2014-03-17,270,,0
2014-03-18,161,,0
2014-03-19,159,,0
2014-03-20,200,,0
2014-03-21,165,,0
2014-03-22,133,,0
2014-03-23,99.2,,0
2014-03-24,73.8,,0
2014-03-25,81.7,,0
2014-03-26,61.2,,0
2014-03-27,75.9,,0
2014-03-28,109,,0
2014-03-29,110,,0
2014-03-30,83.9,,0
2014-03-31,87.3,,0
2014-04-01,84.7,,0
2014-04-02,105,,0
2014-04-03,71.7,,0
2014-04-04,55.5,,0
2014-04-05,76.1,,0
2014-04-06,63.9,,0
2014-04-07,74.9,,0
2014-04-08,69.5,,0
2014-04-09,47.4,,0
2014-04-10,82.4,,0
2014-04-11,64,,0
2014-04-12,72.7,,0
2014-04-13,146,,0
2014-04-14,317,,0
2014-04-15,338,,0
2014-04-16,154,,0
2014-04-17,132,,0
2014-04-18,99.4,,0
2014-04-19,80.2,,0
2014-04-20,91.8,,0
2014-04-21,88.6,,0
2014-04-22,80.7,,0
2014-04-23,78.2,,0
2014-04-24,77.3,,0
2014-04-25,95.6,,0
2014-04-26,111,,0
2014-04-27,65.5,,0
2014-04-28,103,,0
2014-04-29,124,,0
2014-04-30,132,,0
2014-05-01,113,,0
2014-05-02,97.4,,0
2014-05-03,86.8,,0
2014-05-04,86.4,,0
2014-05-05,82.2,,0
2014-05-06,79.6,,0
2014-05-07,61.7,,0
2014-05-08,46.2,,0
2014-05-09,70.9,,0
2014-05-10,86.2,,0
2014-05-11,77.9,,0
2014-05-12,98.5,,0
2014-05-13,158,,0
2014-05-14,121,,0
2014-05-15,93.1,,0
2014-05-16,79.2,,0
