Depth [m]	U [m/s]	V [m/s]	T [deg C]	k [J/kg]	eps [W/kg]
0	0	0	8.781	3e-06	5e-10
-0.5	0	0	8.525	3e-06	5e-10
-1	0	0	8.179	3e-06	5e-10
-1.5	0	0	8.062	3e-06	5e-10
-2	0	0	8.06	3e-06	5e-10
-3	0	0	7.806	3e-06	5e-10
-4	0	0	7.372	3e-06	5e-10
-5	0	0	7.352	3e-06	5e-10
-6	0	0	7.23	3e-06	5e-10
-7	0	0	7.006	3e-06	5e-10
-8	0	0	6.968	3e-06	5e-10
-9	0	0	6.853	3e-06	5e-10
-10	0	0	6.902	3e-06	5e-10
-11	0	0	6.84	3e-06	5e-10
-12	0	0	6.939	3e-06	5e-10
-13	0	0	6.821	3e-06	5e-10
-14	0	0	6.884	3e-06	5e-10
-15	0	0	6.968	3e-06	5e-10
-16	0	0	6.863	3e-06	5e-10
-17	0	0	6.811	3e-06	5e-10
-18	0	0	6.859	3e-06	5e-10
-19	0	0	6.81	3e-06	5e-10
-20	0	0	6.795	3e-06	5e-10
