"",25.000
123.0000,0.0000E+000
124.0000,2.8179E+002
125.0000,2.4066E+002
126.0000,3.2797E+002
127.0000,3.2949E+002
128.0000,3.5924E+002
129.0000,2.5042E+002
130.0000,3.1758E+002
131.0000,3.6182E+002
132.0000,3.7725E+002
133.0000,2.5704E+002
134.0000,3.2091E+002
135.0000,2.9797E+002
136.0000,2.8565E+002
137.0000,2.4571E+002
138.0000,2.6138E+002
139.0000,3.5927E+002
140.0000,3.5155E+002
141.0000,2.7721E+002
142.0000,3.1995E+002
143.0000,2.7448E+002
144.0000,2.8142E+002
145.0000,3.4042E+002
146.0000,3.7534E+002
147.0000,3.4955E+002
148.0000,3.3599E+002
149.0000,2.8079E+002
150.0000,2.9231E+002
151.0000,3.6765E+002
152.0000,3.8312E+002
153.0000,3.1976E+002
154.0000,3.4570E+002
155.0000,2.7989E+002
156.0000,2.9761E+002
157.0000,3.2511E+002
158.0000,3.1956E+002
159.0000,2.9068E+002
160.0000,3.1203E+002
161.0000,3.8623E+002
162.0000,3.0709E+002
163.0000,2.6201E+002
164.0000,2.6825E+002
165.0000,3.2989E+002
166.0000,3.1741E+002
167.0000,4.1094E+002
168.0000,3.8673E+002
169.0000,3.8902E+002
170.0000,3.9892E+002
171.0000,3.4327E+002
172.0000,3.2405E+002
173.0000,3.7658E+002
174.0000,3.9585E+002
175.0000,4.0170E+002
176.0000,3.5266E+002
177.0000,3.4532E+002
178.0000,3.5064E+002
179.0000,3.8967E+002
180.0000,4.0053E+002
181.0000,3.7189E+002
182.0000,3.6155E+002
183.0000,2.9438E+002
184.0000,3.0459E+002
185.0000,2.8857E+002
186.0000,3.3620E+002
187.0000,3.6227E+002
188.0000,3.6798E+002
189.0000,3.0875E+002
190.0000,3.2463E+002
191.0000,3.1206E+002
192.0000,3.6116E+002
193.0000,3.4743E+002
194.0000,3.0567E+002
195.0000,3.2169E+002
196.0000,3.2229E+002
197.0000,3.6284E+002
198.0000,3.4871E+002
199.0000,3.6260E+002
200.0000,3.1374E+002
201.0000,3.3478E+002
202.0000,3.8231E+002
203.0000,3.3818E+002
204.0000,3.4978E+002
205.0000,3.0795E+002
206.0000,3.5560E+002
207.0000,3.4009E+002
208.0000,3.4833E+002
