"",25.000
123.0000,0.0000E+000
124.0000,-1.4917E+001
125.0000,-2.5373E+001
126.0000,1.2639E+001
127.0000,3.3186E+001
128.0000,8.2405E+001
129.0000,-7.2140E+000
130.0000,6.4371E+000
131.0000,3.5689E+001
132.0000,3.3853E+001
133.0000,-2.2897E+001
134.0000,-2.3667E+001
135.0000,-1.6060E+001
136.0000,-3.3015E+001
137.0000,-3.6724E+001
138.0000,-1.9345E+001
139.0000,1.3828E+001
140.0000,1.3918E+001
141.0000,-6.9330E+000
142.0000,-1.0609E+001
143.0000,-1.0578E+001
144.0000,-1.0968E+001
145.0000,1.9217E+000
146.0000,1.5525E+001
147.0000,4.9716E+000
148.0000,-1.2495E+001
149.0000,-2.2876E+001
150.0000,-1.8556E+001
151.0000,6.7777E-001
152.0000,1.9528E+001
153.0000,1.3116E-001
154.0000,-1.4151E+001
155.0000,-1.7855E+001
156.0000,-6.9577E+000
157.0000,-1.7424E+001
158.0000,-1.6610E+001
159.0000,-4.1820E+001
160.0000,-3.6565E+001
161.0000,-2.6592E+001
162.0000,-2.1174E+001
163.0000,-6.3152E+001
164.0000,-2.4460E+001
165.0000,-3.2683E+001
166.0000,-1.5753E+000
167.0000,1.1261E+001
168.0000,1.3186E+001
169.0000,-1.2015E+001
170.0000,7.3525E-001
171.0000,-1.2959E+001
172.0000,-2.3088E+000
173.0000,-1.8919E+001
174.0000,-2.2290E-001
175.0000,-9.1269E+000
176.0000,-3.0037E+001
177.0000,-4.0499E+001
178.0000,-1.8462E+001
179.0000,-7.2240E+000
180.0000,9.8004E-001
181.0000,-1.9419E+000
182.0000,-3.5135E+001
183.0000,-3.9519E+001
184.0000,-4.1155E+001
185.0000,-5.2595E+001
186.0000,-3.0381E+001
187.0000,3.9750E+000
188.0000,-1.1292E+001
189.0000,-3.4508E+001
190.0000,-1.4162E+001
191.0000,-4.4192E+001
192.0000,-1.9412E+001
193.0000,-1.4191E+001
194.0000,-2.2446E+001
195.0000,-7.6368E+001
196.0000,-3.0468E+001
197.0000,-2.3131E+001
198.0000,-3.0110E+001
199.0000,-2.3336E+001
200.0000,-4.1891E+001
201.0000,-2.3052E+001
202.0000,7.5782E+000
203.0000,-1.4204E+001
204.0000,-3.1372E+001
205.0000,-5.4376E+001
206.0000,-2.1411E+001
207.0000,-7.5220E-002
208.0000,-6.0202E+001
209.0000,-2.5593E+001
210.0000,-2.1937E+001
211.0000,-3.1990E+001
212.0000,-1.8269E+001
213.0000,-3.8222E+001
214.0000,-2.8462E+001
215.0000,-1.3628E+001
216.0000,-3.3212E+001
217.0000,-4.4625E+001
218.0000,-4.7842E+001
219.0000,-4.8467E+001
220.0000,-3.3209E+001
221.0000,-4.1498E+001
222.0000,-2.1048E+001
223.0000,-6.0628E+001
224.0000,-6.6237E+001
225.0000,-5.0614E+001
226.0000,-7.1596E+001
227.0000,-2.2473E+001
228.0000,-7.2922E+000
229.0000,-4.2179E+001
230.0000,-1.2020E+001
231.0000,-1.6433E+001
232.0000,-2.9921E+001
233.0000,-8.9662E+000
234.0000,-7.5669E+000
235.0000,-1.8342E+001
236.0000,-1.8172E+001
237.0000,-2.7260E+000
238.0000,-3.6983E+001
239.0000,-5.1104E+001
240.0000,-3.7875E+001
241.0000,-1.5681E+001
242.0000,-2.9361E+001
243.0000,-3.4063E+001
244.0000,-3.6771E+001
245.0000,-2.9850E+001
246.0000,-1.2089E+001
247.0000,3.8482E+000
248.0000,-4.8042E+001
249.0000,-3.8265E+001
250.0000,-5.9534E+001
251.0000,-3.7122E+001
252.0000,-2.6497E+001
253.0000,-1.2155E+002
254.0000,-8.6256E+001
255.0000,-1.0776E+002
256.0000,-9.1771E+001
257.0000,-6.3142E+001
258.0000,-8.7561E+001
259.0000,-6.6755E+001
260.0000,-2.8158E+001
261.0000,-6.7555E+001
262.0000,-4.1277E+001
263.0000,-3.3556E+001
264.0000,-8.4923E+001
265.0000,-5.8291E+001
266.0000,-4.5649E+001
267.0000,-2.7505E+001
268.0000,-3.2292E+001
269.0000,-3.3096E+001
270.0000,-1.1469E+001
271.0000,-8.8059E+000
272.0000,-6.7174E+001
