"",25.000
123.0000,0.0000E+000
124.0000,-2.9660E+001
125.0000,-3.3076E+001
126.0000,-1.6116E+001
127.0000,3.7922E+001
128.0000,8.0272E+001
129.0000,-2.6580E+001
130.0000,-1.7834E+001
131.0000,4.0934E+001
132.0000,4.9526E+001
133.0000,-3.9343E+001
134.0000,-5.7731E+001
135.0000,-2.8188E+001
136.0000,-5.2758E+001
137.0000,-6.7246E+001
138.0000,-5.1329E+001
139.0000,-1.8775E+001
140.0000,6.7551E+000
141.0000,-3.1271E+001
142.0000,-3.3401E+001
143.0000,-4.5289E+001
144.0000,-5.3656E+001
145.0000,-1.4166E+001
146.0000,1.3216E+001
147.0000,-1.6528E+001
148.0000,-3.6449E+001
149.0000,-5.4397E+001
150.0000,-5.4492E+001
151.0000,-3.0689E+001
152.0000,3.5064E+000
153.0000,-3.9560E+001
154.0000,-6.0582E+001
155.0000,-5.8348E+001
156.0000,-4.6296E+001
157.0000,-6.7924E+001
158.0000,-4.4575E+001
159.0000,-1.0356E+002
160.0000,-9.2680E+001
161.0000,-6.5940E+001
162.0000,-5.0163E+001
163.0000,-1.4259E+002
164.0000,-9.6279E+001
165.0000,-9.7010E+001
166.0000,-3.1156E+001
167.0000,8.5263E+000
168.0000,-2.3762E+000
169.0000,-5.1950E+001
170.0000,-8.5477E+000
171.0000,-4.3863E+001
172.0000,-3.2600E+001
173.0000,-7.3099E+001
174.0000,-1.8911E+001
175.0000,-5.0784E+001
176.0000,-9.7021E+001
177.0000,-1.1968E+002
178.0000,-7.0810E+001
179.0000,-3.6805E+001
180.0000,-2.8416E+001
181.0000,-2.2881E+001
182.0000,-1.0877E+002
183.0000,-1.0516E+002
184.0000,-1.3579E+002
185.0000,-1.5582E+002
186.0000,-8.5951E+001
187.0000,-2.7373E+001
188.0000,-7.6348E+001
189.0000,-1.1767E+002
190.0000,-8.3060E+001
191.0000,-1.4576E+002
192.0000,-9.9725E+001
193.0000,-7.1565E+001
194.0000,-1.0537E+002
195.0000,-1.6839E+002
196.0000,-9.8128E+001
197.0000,-1.1792E+002
198.0000,-1.5285E+002
199.0000,-1.3235E+002
200.0000,-1.5680E+002
201.0000,-1.3296E+002
202.0000,-1.3540E+002
203.0000,-1.4464E+002
204.0000,-1.3442E+002
205.0000,-1.8529E+002
206.0000,-1.2234E+002
207.0000,-7.8621E+001
208.0000,-1.9535E+002
209.0000,-1.3670E+002
210.0000,-9.1143E+001
211.0000,-1.3070E+002
212.0000,-9.7190E+001
213.0000,-1.6186E+002
214.0000,-1.6118E+002
215.0000,-1.0528E+002
216.0000,-1.1318E+002
217.0000,-1.4164E+002
218.0000,-1.6622E+002
219.0000,-1.6732E+002
220.0000,-1.4787E+002
221.0000,-1.6505E+002
222.0000,-1.1697E+002
223.0000,-1.6682E+002
224.0000,-1.8643E+002
225.0000,-1.7122E+002
226.0000,-1.9159E+002
227.0000,-1.2718E+002
228.0000,-6.8416E+001
229.0000,-1.4171E+002
230.0000,-7.8633E+001
231.0000,-8.5429E+001
232.0000,-1.3434E+002
233.0000,-5.9394E+001
234.0000,-7.3860E+001
235.0000,-6.4478E+001
236.0000,-9.0469E+001
237.0000,-6.5356E+001
238.0000,-2.0335E+002
239.0000,-1.6334E+002
240.0000,-1.5580E+002
241.0000,-1.0476E+002
242.0000,-9.1900E+001
243.0000,-1.6211E+002
244.0000,-1.2468E+002
245.0000,-1.2203E+002
246.0000,-2.1813E+002
247.0000,-7.1758E+001
248.0000,-1.5549E+002
249.0000,-1.3421E+002
250.0000,-1.9980E+002
251.0000,-1.8094E+002
252.0000,-1.2283E+002
253.0000,-2.8083E+002
254.0000,-1.9538E+002
255.0000,-1.9855E+002
256.0000,-1.8100E+002
257.0000,-1.4174E+002
258.0000,-1.6769E+002
259.0000,-1.4327E+002
260.0000,-9.0643E+001
261.0000,-1.4690E+002
262.0000,-1.5637E+002
263.0000,-1.0486E+002
264.0000,-1.6462E+002
265.0000,-1.3983E+002
266.0000,-1.2140E+002
267.0000,-1.0793E+002
268.0000,-1.0599E+002
269.0000,-1.0416E+002
270.0000,-6.7076E+001
271.0000,-6.0872E+001
272.0000,-1.2856E+002
273.0000,-1.3571E+002
274.0000,-7.0836E+001
275.0000,-6.2911E+001
276.0000,-2.9664E+002
277.0000,-1.3927E+002
278.0000,-1.2156E+002
279.0000,-1.6751E+002
280.0000,-1.1924E+002
281.0000,-1.1775E+002
282.0000,-1.3520E+002
283.0000,-8.3133E+001
284.0000,-1.1700E+002
285.0000,-5.2391E+001
286.0000,-7.9512E+000
287.0000,-1.1579E+002
288.0000,-4.4896E+001
289.0000,-7.3714E+001
290.0000,-1.1381E+002
291.0000,-7.7720E+001
292.0000,-8.1750E+001
293.0000,-7.7179E+001
294.0000,-9.4621E+001
295.0000,-9.4631E+001
296.0000,-3.1468E+001
297.0000,-3.9200E+001
298.0000,-1.0628E+002
299.0000,-1.1729E+002
300.0000,-3.3732E+001
