"",25.000
123.0000,0.0000E+000
124.0000,-3.4264E+002
125.0000,-3.4170E+002
126.0000,-3.4305E+002
127.0000,-3.4608E+002
128.0000,-3.4990E+002
129.0000,-3.5072E+002
130.0000,-3.5551E+002
131.0000,-3.5903E+002
132.0000,-3.6166E+002
133.0000,-3.6102E+002
134.0000,-3.6098E+002
135.0000,-3.5938E+002
136.0000,-3.5921E+002
137.0000,-3.6022E+002
138.0000,-3.6181E+002
139.0000,-3.6206E+002
140.0000,-3.7222E+002
141.0000,-3.6978E+002
142.0000,-3.7043E+002
143.0000,-3.7447E+002
144.0000,-3.7783E+002
145.0000,-3.8156E+002
146.0000,-3.8720E+002
147.0000,-3.9264E+002
148.0000,-3.8831E+002
149.0000,-3.9194E+002
150.0000,-3.9430E+002
151.0000,-3.9773E+002
152.0000,-3.9840E+002
153.0000,-3.9779E+002
154.0000,-3.9665E+002
155.0000,-3.9681E+002
156.0000,-4.0165E+002
157.0000,-4.0592E+002
158.0000,-4.0651E+002
159.0000,-4.0665E+002
160.0000,-4.0916E+002
161.0000,-4.0707E+002
162.0000,-4.0567E+002
163.0000,-4.0457E+002
164.0000,-4.0124E+002
165.0000,-4.0032E+002
166.0000,-3.9718E+002
167.0000,-4.0131E+002
168.0000,-4.0693E+002
169.0000,-4.1243E+002
170.0000,-4.0978E+002
171.0000,-4.1637E+002
172.0000,-4.1574E+002
173.0000,-4.1770E+002
174.0000,-4.2229E+002
175.0000,-4.2753E+002
176.0000,-4.3037E+002
177.0000,-4.3040E+002
178.0000,-4.2613E+002
179.0000,-4.2171E+002
180.0000,-4.2278E+002
181.0000,-4.2508E+002
182.0000,-4.2251E+002
183.0000,-4.1909E+002
184.0000,-4.1923E+002
185.0000,-4.1980E+002
186.0000,-4.1863E+002
187.0000,-4.2110E+002
188.0000,-4.2316E+002
189.0000,-4.2175E+002
190.0000,-4.2327E+002
191.0000,-4.2533E+002
192.0000,-4.2315E+002
193.0000,-4.2812E+002
194.0000,-4.2615E+002
195.0000,-4.2296E+002
196.0000,-4.2299E+002
197.0000,-4.2478E+002
198.0000,-4.2712E+002
199.0000,-4.2573E+002
200.0000,-4.2680E+002
201.0000,-4.2612E+002
202.0000,-4.2776E+002
203.0000,-4.2842E+002
204.0000,-4.2806E+002
205.0000,-4.3017E+002
206.0000,-4.2830E+002
207.0000,-4.3001E+002
208.0000,-4.2808E+002
209.0000,-4.2744E+002
210.0000,-4.2401E+002
211.0000,-4.2757E+002
212.0000,-4.2629E+002
213.0000,-4.3072E+002
214.0000,-4.3103E+002
215.0000,-4.3224E+002
216.0000,-4.3272E+002
217.0000,-4.3245E+002
218.0000,-4.3394E+002
219.0000,-4.2938E+002
220.0000,-4.3058E+002
221.0000,-4.2973E+002
222.0000,-4.3207E+002
223.0000,-4.3227E+002
224.0000,-4.2884E+002
225.0000,-4.2840E+002
226.0000,-4.2631E+002
227.0000,-4.2823E+002
228.0000,-4.2950E+002
229.0000,-4.3125E+002
230.0000,-4.3201E+002
231.0000,-4.3189E+002
232.0000,-4.3357E+002
233.0000,-4.3461E+002
234.0000,-4.3995E+002
235.0000,-4.3961E+002
236.0000,-4.4090E+002
237.0000,-4.4071E+002
238.0000,-4.3994E+002
239.0000,-4.3928E+002
240.0000,-4.3674E+002
241.0000,-4.3541E+002
242.0000,-4.3405E+002
243.0000,-4.3560E+002
244.0000,-4.3434E+002
245.0000,-4.3253E+002
246.0000,-4.3267E+002
247.0000,-4.3415E+002
248.0000,-4.3387E+002
249.0000,-4.3200E+002
250.0000,-4.3030E+002
251.0000,-4.3046E+002
252.0000,-4.3075E+002
253.0000,-4.2834E+002
254.0000,-4.2434E+002
255.0000,-4.2411E+002
256.0000,-4.2186E+002
257.0000,-4.1475E+002
258.0000,-4.1860E+002
259.0000,-4.1182E+002
260.0000,-4.1499E+002
261.0000,-4.1560E+002
262.0000,-4.1346E+002
263.0000,-4.1421E+002
264.0000,-4.1171E+002
265.0000,-4.1019E+002
266.0000,-4.0859E+002
267.0000,-4.0936E+002
268.0000,-4.0804E+002
269.0000,-4.0853E+002
270.0000,-4.0903E+002
271.0000,-4.1051E+002
272.0000,-4.0880E+002
273.0000,-4.0739E+002
274.0000,-4.0674E+002
275.0000,-4.0778E+002
276.0000,-4.0439E+002
277.0000,-4.0087E+002
278.0000,-3.9885E+002
279.0000,-3.9508E+002
280.0000,-3.9613E+002
281.0000,-3.9406E+002
282.0000,-3.9248E+002
283.0000,-3.9108E+002
284.0000,-3.8667E+002
285.0000,-3.8919E+002
286.0000,-3.8997E+002
287.0000,-3.8959E+002
288.0000,-3.8843E+002
289.0000,-3.8801E+002
290.0000,-3.8608E+002
291.0000,-3.8172E+002
292.0000,-3.8327E+002
293.0000,-3.8317E+002
294.0000,-3.8102E+002
295.0000,-3.7911E+002
296.0000,-3.7955E+002
297.0000,-3.7992E+002
298.0000,-3.7899E+002
299.0000,-3.7818E+002
300.0000,-3.7876E+002
301.0000,-3.7695E+002
302.0000,-3.7595E+002
303.0000,-3.7482E+002
304.0000,-3.7170E+002
305.0000,-3.6944E+002
306.0000,-3.6765E+002
307.0000,-3.6693E+002
308.0000,-3.6470E+002
309.0000,-3.6544E+002
310.0000,-3.6411E+002
311.0000,-3.6281E+002
312.0000,-3.6134E+002
313.0000,-3.6029E+002
314.0000,-3.5982E+002
315.0000,-3.5798E+002
316.0000,-3.5556E+002
317.0000,-3.5336E+002
318.0000,-3.5114E+002
319.0000,-3.4955E+002
320.0000,-3.4771E+002
321.0000,-3.4478E+002
322.0000,-3.4224E+002
323.0000,-3.4017E+002
324.0000,-3.3783E+002
325.0000,-3.3591E+002
326.0000,-3.3537E+002
327.0000,-3.3604E+002
328.0000,-3.3473E+002
329.0000,-3.3144E+002
330.0000,-3.3216E+002
331.0000,-3.3024E+002
332.0000,-3.2932E+002
333.0000,-3.2844E+002
334.0000,-3.2676E+002
335.0000,-3.2508E+002
336.0000,-3.2349E+002
337.0000,-3.2223E+002
338.0000,-3.2184E+002
339.0000,-3.2136E+002
340.0000,-3.2043E+002
341.0000,-3.2024E+002
342.0000,-3.2004E+002
343.0000,-3.1917E+002
344.0000,-3.1836E+002
345.0000,-3.1755E+002
346.0000,-3.1719E+002
347.0000,-3.1738E+002
348.0000,-3.1788E+002
349.0000,-3.2070E+002
350.0000,-3.1753E+002
351.0000,-3.1645E+002
352.0000,-3.1550E+002
353.0000,-3.1453E+002
354.0000,-3.1481E+002
355.0000,-3.1481E+002
356.0000,-3.1507E+002
357.0000,-3.1533E+002
358.0000,-3.1509E+002
359.0000,-3.1451E+002
360.0000,-3.1502E+002
361.0000,-3.1469E+002
362.0000,-3.1349E+002
363.0000,-3.1215E+002
364.0000,-3.1015E+002
365.0000,-3.0838E+002
366.0000,-3.0748E+002
367.0000,-3.0674E+002
368.0000,-3.0711E+002
369.0000,0.0000E+000
370.0000,0.0000E+000
371.0000,0.0000E+000
372.0000,0.0000E+000
373.0000,0.0000E+000
374.0000,0.0000E+000
375.0000,0.0000E+000
376.0000,0.0000E+000
377.0000,0.0000E+000
378.0000,0.0000E+000
379.0000,0.0000E+000
380.0000,0.0000E+000
381.0000,0.0000E+000
382.0000,0.0000E+000
383.0000,0.0000E+000
384.0000,0.0000E+000
385.0000,0.0000E+000
386.0000,0.0000E+000
387.0000,0.0000E+000
388.0000,0.0000E+000
389.0000,0.0000E+000
390.0000,0.0000E+000
391.0000,0.0000E+000
392.0000,0.0000E+000
393.0000,0.0000E+000
394.0000,0.0000E+000
395.0000,0.0000E+000
396.0000,0.0000E+000
397.0000,0.0000E+000
398.0000,0.0000E+000
399.0000,0.0000E+000
400.0000,0.0000E+000
401.0000,0.0000E+000
402.0000,0.0000E+000
403.0000,0.0000E+000
404.0000,0.0000E+000
405.0000,0.0000E+000
406.0000,0.0000E+000
407.0000,0.0000E+000
408.0000,0.0000E+000
409.0000,0.0000E+000
410.0000,0.0000E+000
411.0000,0.0000E+000
412.0000,0.0000E+000
413.0000,0.0000E+000
414.0000,0.0000E+000
415.0000,0.0000E+000
416.0000,0.0000E+000
417.0000,0.0000E+000
418.0000,0.0000E+000
419.0000,0.0000E+000
420.0000,0.0000E+000
421.0000,0.0000E+000
422.0000,0.0000E+000
423.0000,0.0000E+000
424.0000,0.0000E+000
425.0000,0.0000E+000
426.0000,0.0000E+000
427.0000,0.0000E+000
428.0000,0.0000E+000
429.0000,0.0000E+000
430.0000,0.0000E+000
431.0000,0.0000E+000
432.0000,0.0000E+000
433.0000,0.0000E+000
434.0000,-3.0932E+002
435.0000,0.0000E+000
436.0000,-3.0932E+002
437.0000,-3.0932E+002
438.0000,-3.0932E+002
439.0000,-3.0932E+002
440.0000,-3.0932E+002
441.0000,0.0000E+000
442.0000,-3.0932E+002
443.0000,-3.0932E+002
444.0000,-3.0932E+002
445.0000,0.0000E+000
446.0000,0.0000E+000
447.0000,0.0000E+000
448.0000,0.0000E+000
449.0000,0.0000E+000
450.0000,0.0000E+000
451.0000,0.0000E+000
452.0000,0.0000E+000
453.0000,-3.0932E+002
454.0000,-3.0932E+002
455.0000,-3.0932E+002
456.0000,-3.0932E+002
457.0000,-3.1958E+002
458.0000,-3.1637E+002
459.0000,-3.1760E+002
460.0000,-3.2040E+002
461.0000,-3.2018E+002
462.0000,-3.2102E+002
463.0000,-3.2307E+002
464.0000,-3.2432E+002
465.0000,-3.2497E+002
466.0000,-3.2631E+002
467.0000,-3.2841E+002
468.0000,-3.2974E+002
469.0000,-3.3315E+002
470.0000,-3.3255E+002
471.0000,-3.3516E+002
472.0000,-3.3778E+002
473.0000,-3.3831E+002
474.0000,-3.3912E+002
475.0000,-3.3922E+002
476.0000,-3.3839E+002
477.0000,-3.3866E+002
478.0000,-3.3894E+002
479.0000,-3.3952E+002
480.0000,-3.3915E+002
481.0000,-3.4092E+002
482.0000,-3.4160E+002
483.0000,-3.4372E+002
484.0000,-3.4641E+002
485.0000,-3.4506E+002
486.0000,-3.4829E+002
487.0000,-3.4894E+002
488.0000,-3.5060E+002
489.0000,-3.5384E+002
490.0000,-3.5337E+002
491.0000,-3.5762E+002
492.0000,-3.5894E+002
493.0000,-3.6295E+002
494.0000,-3.6717E+002
495.0000,-3.6579E+002
496.0000,-3.6526E+002
497.0000,-3.6478E+002
498.0000,-3.6639E+002
499.0000,-3.6670E+002
500.0000,-3.7118E+002
501.0000,-3.7529E+002
502.0000,-3.7431E+002
503.0000,-3.7386E+002
504.0000,-3.7411E+002
505.0000,-3.7411E+002
506.0000,-3.7512E+002
507.0000,-3.7805E+002
508.0000,-3.7984E+002
509.0000,-3.7918E+002
510.0000,-3.8098E+002
511.0000,-3.8190E+002
512.0000,-3.8461E+002
513.0000,-3.8689E+002
514.0000,-3.9058E+002
515.0000,-3.8690E+002
516.0000,-3.8619E+002
517.0000,-3.8705E+002
518.0000,-3.8904E+002
519.0000,-3.9096E+002
520.0000,-3.9709E+002
521.0000,-3.9700E+002
522.0000,-3.9801E+002
523.0000,-3.9959E+002
524.0000,-4.0085E+002
525.0000,-4.0450E+002
526.0000,-4.0659E+002
527.0000,-4.0346E+002
528.0000,-4.0140E+002
529.0000,-4.0564E+002
530.0000,-4.1146E+002
531.0000,-4.1269E+002
532.0000,-4.1525E+002
533.0000,-4.1652E+002
534.0000,-4.1809E+002
535.0000,-4.1568E+002
536.0000,-4.1847E+002
537.0000,-4.2207E+002
538.0000,-4.2124E+002
539.0000,-4.1959E+002
540.0000,-4.2065E+002
541.0000,-4.2542E+002
542.0000,-4.2371E+002
543.0000,-4.2493E+002
544.0000,-4.2453E+002
545.0000,-4.2684E+002
546.0000,-4.2846E+002
547.0000,-4.2732E+002
548.0000,-4.2616E+002
549.0000,-4.2772E+002
550.0000,-4.3078E+002
551.0000,-4.3163E+002
552.0000,-4.3137E+002
553.0000,-4.2889E+002
554.0000,-4.2856E+002
555.0000,-4.2805E+002
556.0000,-4.3025E+002
557.0000,-4.3141E+002
558.0000,-4.3704E+002
559.0000,-4.4154E+002
560.0000,-4.3770E+002
561.0000,-4.3718E+002
562.0000,-4.2712E+002
563.0000,-4.3952E+002
564.0000,-4.4103E+002
565.0000,-4.3913E+002
566.0000,-4.3482E+002
567.0000,-4.3595E+002
568.0000,-4.3365E+002
569.0000,-4.3891E+002
570.0000,-4.3749E+002
571.0000,-4.3997E+002
572.0000,-4.3921E+002
573.0000,-4.4118E+002
574.0000,-4.4219E+002
575.0000,-4.3752E+002
576.0000,-4.3173E+002
577.0000,-4.3294E+002
578.0000,-4.3287E+002
579.0000,-4.3214E+002
580.0000,-4.3207E+002
581.0000,-4.3082E+002
582.0000,-4.3294E+002
583.0000,-4.3268E+002
584.0000,-4.3170E+002
585.0000,-4.3223E+002
586.0000,-4.3373E+002
587.0000,-4.3347E+002
588.0000,-4.3273E+002
589.0000,-4.3229E+002
590.0000,-4.3273E+002
591.0000,-4.3524E+002
592.0000,-4.3715E+002
593.0000,-4.3565E+002
594.0000,-4.3726E+002
595.0000,-4.3645E+002
596.0000,-4.3470E+002
597.0000,-4.3294E+002
598.0000,-4.3232E+002
599.0000,-4.3158E+002
600.0000,-4.3020E+002
601.0000,-4.2788E+002
602.0000,-4.2654E+002
603.0000,-4.2460E+002
604.0000,-4.2269E+002
605.0000,-4.2441E+002
606.0000,-4.2703E+002
607.0000,-4.2772E+002
608.0000,-4.2986E+002
609.0000,-4.3184E+002
610.0000,-4.3216E+002
611.0000,-4.3580E+002
612.0000,-4.3744E+002
613.0000,-4.3630E+002
614.0000,-4.3455E+002
615.0000,-4.3784E+002
616.0000,-4.3447E+002
617.0000,-4.3274E+002
618.0000,-4.3182E+002
619.0000,-4.2482E+002
620.0000,-4.2404E+002
621.0000,-4.1759E+002
622.0000,-4.2591E+002
623.0000,-4.2522E+002
624.0000,-4.2451E+002
625.0000,-4.2489E+002
626.0000,-4.2538E+002
627.0000,-4.1925E+002
628.0000,-4.2160E+002
629.0000,-4.1839E+002
630.0000,-4.2029E+002
631.0000,-4.1974E+002
632.0000,-4.1908E+002
633.0000,-4.1822E+002
634.0000,-4.1743E+002
635.0000,-4.1852E+002
636.0000,-4.1849E+002
637.0000,-4.1105E+002
638.0000,-4.1503E+002
639.0000,-4.0884E+002
640.0000,-4.0884E+002
641.0000,-4.0825E+002
642.0000,-4.0678E+002
643.0000,-4.0602E+002
644.0000,-4.0628E+002
645.0000,-3.9759E+002
646.0000,-4.0519E+002
647.0000,-4.0447E+002
648.0000,-4.0281E+002
649.0000,-4.0187E+002
650.0000,-4.0066E+002
651.0000,-3.9873E+002
652.0000,-3.9469E+002
653.0000,-3.9498E+002
654.0000,-3.9223E+002
655.0000,-3.8996E+002
656.0000,-3.8563E+002
657.0000,-3.8664E+002
658.0000,-3.8639E+002
659.0000,-3.8614E+002
660.0000,-3.8523E+002
661.0000,-3.8468E+002
662.0000,-3.8288E+002
663.0000,-3.8119E+002
664.0000,-3.8192E+002
665.0000,-3.8088E+002
666.0000,-3.7949E+002
667.0000,-3.7723E+002
668.0000,-3.7626E+002
669.0000,-3.7491E+002
670.0000,-3.7376E+002
671.0000,-3.7368E+002
672.0000,-3.7341E+002
673.0000,-3.7359E+002
674.0000,-3.7451E+002
675.0000,-3.7234E+002
676.0000,-3.7160E+002
677.0000,-3.6969E+002
678.0000,-3.6832E+002
679.0000,-3.6638E+002
680.0000,-3.6706E+002
681.0000,-3.6543E+002
682.0000,-3.6300E+002
683.0000,-3.6164E+002
684.0000,-3.6094E+002
685.0000,-3.6025E+002
686.0000,-3.6088E+002
687.0000,-3.6036E+002
688.0000,-3.5825E+002
689.0000,-3.5644E+002
690.0000,-3.5397E+002
691.0000,-3.5171E+002
692.0000,-3.5021E+002
693.0000,-3.4830E+002
694.0000,-3.4794E+002
695.0000,-3.4757E+002
696.0000,-3.4649E+002
697.0000,-3.4331E+002
698.0000,-3.4413E+002
699.0000,-3.4361E+002
700.0000,-3.4259E+002
701.0000,-3.4196E+002
702.0000,-3.4040E+002
703.0000,-3.3911E+002
704.0000,-3.3850E+002
705.0000,-3.3821E+002
706.0000,-3.3771E+002
707.0000,-3.3736E+002
708.0000,-3.3688E+002
709.0000,-3.3683E+002
710.0000,-3.3663E+002
711.0000,-3.3684E+002
712.0000,-3.3818E+002
713.0000,-3.3807E+002
714.0000,-3.3723E+002
715.0000,-3.3708E+002
716.0000,-3.3574E+002
717.0000,-3.3395E+002
718.0000,-3.3205E+002
719.0000,-3.3143E+002
720.0000,-3.3145E+002
721.0000,-3.3095E+002
722.0000,-3.3145E+002
723.0000,-3.3051E+002
724.0000,-3.2974E+002
725.0000,-3.2906E+002
726.0000,-3.2777E+002
727.0000,-3.2703E+002
728.0000,-3.2575E+002
729.0000,-3.2567E+002
730.0000,-3.2446E+002
731.0000,-3.2277E+002
732.0000,-3.2148E+002
733.0000,-3.2072E+002
734.0000,-3.1946E+002
735.0000,-3.1850E+002
736.0000,-3.1820E+002
737.0000,-3.1823E+002
738.0000,-3.1832E+002
739.0000,-3.1740E+002
740.0000,-3.1461E+002
741.0000,-3.1345E+002
742.0000,-3.1123E+002
743.0000,-3.0983E+002
744.0000,-3.0992E+002
745.0000,-3.1001E+002
746.0000,-3.0870E+002
747.0000,0.0000E+000
748.0000,0.0000E+000
749.0000,0.0000E+000
750.0000,0.0000E+000
751.0000,0.0000E+000
752.0000,0.0000E+000
753.0000,0.0000E+000
754.0000,0.0000E+000
755.0000,0.0000E+000
756.0000,0.0000E+000
757.0000,0.0000E+000
758.0000,0.0000E+000
759.0000,0.0000E+000
760.0000,-2.5251E+002
761.0000,0.0000E+000
762.0000,0.0000E+000
763.0000,0.0000E+000
764.0000,0.0000E+000
765.0000,0.0000E+000
766.0000,0.0000E+000
767.0000,0.0000E+000
768.0000,0.0000E+000
769.0000,0.0000E+000
770.0000,0.0000E+000
771.0000,0.0000E+000
772.0000,0.0000E+000
773.0000,0.0000E+000
774.0000,0.0000E+000
775.0000,0.0000E+000
776.0000,0.0000E+000
777.0000,0.0000E+000
778.0000,0.0000E+000
779.0000,-3.0932E+002
780.0000,-3.0932E+002
781.0000,0.0000E+000
782.0000,0.0000E+000
783.0000,0.0000E+000
784.0000,0.0000E+000
785.0000,0.0000E+000
786.0000,0.0000E+000
787.0000,0.0000E+000
788.0000,-3.0932E+002
789.0000,0.0000E+000
790.0000,0.0000E+000
791.0000,0.0000E+000
792.0000,0.0000E+000
793.0000,0.0000E+000
794.0000,-2.5251E+002
795.0000,0.0000E+000
796.0000,-3.0932E+002
797.0000,-3.0932E+002
798.0000,-3.0932E+002
799.0000,-3.0932E+002
800.0000,-3.0932E+002
801.0000,-3.1625E+002
802.0000,-3.1708E+002
803.0000,-3.1573E+002
804.0000,-3.1652E+002
805.0000,-3.1794E+002
806.0000,-3.1916E+002
807.0000,-3.2024E+002
808.0000,-3.2059E+002
809.0000,-3.2079E+002
810.0000,-3.2116E+002
811.0000,-3.2175E+002
812.0000,-3.2290E+002
813.0000,-3.2317E+002
814.0000,-3.2263E+002
815.0000,-3.2298E+002
816.0000,-3.2445E+002
817.0000,-3.2557E+002
818.0000,-3.2545E+002
819.0000,-3.2685E+002
820.0000,-3.2818E+002
821.0000,-3.2923E+002
822.0000,-3.2898E+002
823.0000,-3.2863E+002
824.0000,-3.2964E+002
825.0000,-3.2912E+002
826.0000,-3.2982E+002
827.0000,-3.3116E+002
828.0000,-3.3033E+002
829.0000,-3.2981E+002
830.0000,-3.3015E+002
831.0000,-3.3103E+002
832.0000,-3.3091E+002
833.0000,-3.3241E+002
834.0000,-3.3243E+002
835.0000,-3.3474E+002
836.0000,-3.3555E+002
837.0000,-3.3853E+002
838.0000,-3.4174E+002
839.0000,-3.4521E+002
840.0000,-3.4321E+002
841.0000,-3.4424E+002
842.0000,-3.4726E+002
843.0000,-3.4814E+002
844.0000,-3.4940E+002
845.0000,-3.5028E+002
846.0000,-3.5255E+002
847.0000,-3.5293E+002
848.0000,-3.5291E+002
849.0000,-3.5284E+002
850.0000,-3.5451E+002
851.0000,-3.5352E+002
852.0000,-3.5368E+002
853.0000,-3.5569E+002
854.0000,-3.5611E+002
855.0000,-3.5619E+002
856.0000,-3.5890E+002
857.0000,-3.6213E+002
858.0000,-3.6219E+002
859.0000,-3.6389E+002
860.0000,-3.6251E+002
861.0000,-3.6309E+002
862.0000,-3.6768E+002
863.0000,-3.6870E+002
864.0000,-3.6831E+002
865.0000,-3.6649E+002
866.0000,-3.6757E+002
867.0000,-3.6802E+002
868.0000,-3.6966E+002
869.0000,-3.7166E+002
870.0000,-3.7426E+002
871.0000,-3.7622E+002
872.0000,-3.7918E+002
873.0000,-3.8301E+002
874.0000,-3.8172E+002
875.0000,-3.8602E+002
876.0000,-3.9038E+002
877.0000,-3.9553E+002
878.0000,-3.9714E+002
879.0000,-3.9605E+002
880.0000,-3.9532E+002
881.0000,-3.9958E+002
882.0000,-4.0024E+002
883.0000,-4.0281E+002
884.0000,-4.0341E+002
885.0000,-4.0519E+002
886.0000,-4.0659E+002
887.0000,-4.0449E+002
888.0000,-4.0146E+002
889.0000,-3.9994E+002
890.0000,-4.0194E+002
891.0000,-4.0115E+002
892.0000,-4.0689E+002
893.0000,-4.1298E+002
894.0000,-4.1155E+002
895.0000,-4.1745E+002
896.0000,-4.2020E+002
897.0000,-4.2423E+002
898.0000,-4.2251E+002
899.0000,-4.2548E+002
900.0000,-4.2712E+002
901.0000,-4.2897E+002
902.0000,-4.2689E+002
903.0000,-4.2535E+002
904.0000,-4.2709E+002
905.0000,-4.2847E+002
906.0000,-4.3032E+002
907.0000,-4.3192E+002
908.0000,-4.3158E+002
909.0000,-4.3077E+002
910.0000,-4.2898E+002
911.0000,-4.2917E+002
912.0000,-4.2940E+002
913.0000,-4.2769E+002
914.0000,-4.2767E+002
915.0000,-4.2693E+002
916.0000,-4.2892E+002
917.0000,-4.3521E+002
918.0000,-4.4020E+002
919.0000,-4.4298E+002
920.0000,-4.3742E+002
921.0000,-4.3649E+002
922.0000,-4.3690E+002
923.0000,-4.3676E+002
924.0000,-4.3656E+002
925.0000,-4.3826E+002
926.0000,-4.3531E+002
927.0000,-4.3233E+002
928.0000,-4.3381E+002
929.0000,-4.3385E+002
930.0000,-4.3611E+002
931.0000,-4.3924E+002
932.0000,-4.4099E+002
933.0000,-4.4552E+002
934.0000,-4.5402E+002
935.0000,-4.5212E+002
936.0000,-4.5134E+002
937.0000,-4.4962E+002
938.0000,-4.5175E+002
939.0000,-4.5237E+002
940.0000,-4.5267E+002
941.0000,-4.4355E+002
942.0000,-4.3524E+002
943.0000,-4.4357E+002
944.0000,-4.4864E+002
945.0000,-4.4891E+002
946.0000,-4.5108E+002
947.0000,-4.5348E+002
948.0000,-4.4761E+002
949.0000,-4.3141E+002
950.0000,-4.3594E+002
951.0000,-4.3821E+002
952.0000,-4.4203E+002
953.0000,-4.4799E+002
954.0000,-4.4792E+002
955.0000,-4.4927E+002
956.0000,-4.4219E+002
957.0000,-4.4717E+002
958.0000,-4.4858E+002
959.0000,-4.4914E+002
960.0000,-4.5020E+002
961.0000,-4.5079E+002
962.0000,-4.5172E+002
963.0000,-4.4729E+002
964.0000,-4.1904E+002
965.0000,-4.4134E+002
966.0000,-4.4317E+002
967.0000,-4.4430E+002
968.0000,-4.4098E+002
969.0000,-4.4221E+002
970.0000,-4.4353E+002
971.0000,-4.4522E+002
972.0000,-4.4590E+002
973.0000,-4.4548E+002
974.0000,-4.2772E+002
975.0000,-4.4195E+002
976.0000,-4.3954E+002
977.0000,-4.3137E+002
978.0000,-4.3854E+002
979.0000,-4.3913E+002
980.0000,-4.4073E+002
981.0000,-4.4059E+002
982.0000,-4.3803E+002
983.0000,-4.3865E+002
984.0000,-4.3710E+002
985.0000,-4.3326E+002
986.0000,-4.3433E+002
987.0000,-4.3404E+002
988.0000,-4.3274E+002
