Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       4.56700       4.56700       4.68900       0.00000      0.714231E-04  0.154476E-02  -13.3273      0.535372E-01  0.242545E-01   0.00000       0.00000      -333.909       12.2200      0.500000       5.00000       4.00000      0.150478       0.00000       0.00000       0.00000       0.00000    
        1  0.416667E-01   4.56605       4.56605       4.56605       0.00000      0.694631E-04  0.105801E-02  -4.28870      0.529974E-01  0.271788E-01   0.00000       0.00000      -333.904       12.2200      0.500000      0.749400E-01   4.67351      -1.56580       0.00000       0.00000       0.00000       0.00000    
        2  0.833333E-01   4.56586       4.56586       4.56586       0.00000      0.680688E-04  0.101899E-02  -3.83271      0.525854E-01  0.301049E-01   0.00000       0.00000      -333.903       12.2200      0.500000      0.103971       4.66755      -1.06806       0.00000       0.00000       0.00000       0.00000    
        3  0.125000       4.56567       4.56567       4.56567       0.00000      0.676251E-04  0.102157E-02  -3.86323      0.520355E-01  0.330309E-01   0.00000       0.00000      -333.903       12.2200      0.500000      0.122874       4.66369     -0.871107       0.00000       0.00000       0.00000       0.00000    
        4  0.166667       4.56546       4.56546       4.56546       0.00000      0.672329E-04  0.114397E-02  -5.42680      0.521763E-01  0.344715E-01   0.00000       0.00000      -333.902       12.2200      0.500000      0.137817       4.66064     -0.754155       0.00000       0.00000       0.00000       0.00000    
        5  0.208333       4.56513       4.56513       4.56513       0.00000      0.679470E-04  0.117678E-02  -5.91055      0.521809E-01  0.359193E-01   0.00000       0.00000      -333.900       12.2200      0.500000      0.150331       4.65809     -0.675230       0.00000       0.00000       0.00000       0.00000    
        6  0.250000       4.56476       4.56476       4.56476       0.00000      0.696694E-04   0.00000      -3.83822      0.521861E-01  0.373508E-01   16.1448       0.00000      -333.898       12.2200      0.500000      0.161236       4.65587     -0.617014       0.00000       0.00000       0.00000       0.00000    
        7  0.291667       4.56566       4.56566       4.56566       0.00000      0.722759E-04   0.00000      0.918980      0.698673E-01  0.416810E-01   66.4838       0.00000      -333.903       12.2200      0.500000      0.170291       4.65403     -0.566645       0.00000       0.00000       0.00000       0.00000    
        8  0.333333       4.57101       4.57040       4.56566       0.00000      0.749100E-04   0.00000       18.7184      0.874854E-01  0.459309E-01   113.475       0.00000      -333.928       9.42272      0.500000      0.171361       4.65381     -0.561719       0.00000       0.00000       0.00000       0.00000    
        9  0.375000       4.58326       4.57965       4.56566       0.00000      0.774867E-04   0.00000       15.2961      0.105004      0.500760E-01   205.599       0.00000      -333.987       7.19781      0.500000      0.166577       4.65478     -0.584220       0.00000       0.00000       0.00000       0.00000    
       10  0.416667       4.60635       4.59507       4.56566       0.00000      0.782767E-04   0.00000       14.9954      0.119603      0.557228E-01   258.722       0.00000      -334.098       5.44812      0.500000      0.150749       4.65800     -0.668860       0.00000       0.00000       0.00000       0.00000    
       11  0.458333       4.63827       4.61418       4.56566       0.00000      0.805451E-04   0.00000       19.5005      0.134072      0.611978E-01   295.070       0.00000      -334.252       4.11267      0.500000      0.129318       4.66236     -0.816540       0.00000       0.00000       0.00000       0.00000    
       12  0.500000       4.67826       4.63615       4.56566       0.00000      0.840453E-04   0.00000       9.91892      0.148422      0.665352E-01   408.072       0.00000      -334.444       3.07999      0.500000      0.105106       4.66730      -1.05595       0.00000       0.00000       0.00000       0.00000    
       13  0.541667       4.73366       4.66533       4.56566       0.00000      0.766425E-04   0.00000       16.3355      0.152598      0.724743E-01   378.780       0.00000      -334.711       2.27849      0.500000      0.691987E-01   4.67464      -1.71975       0.00000       0.00000       0.00000       0.00000    
       14  0.583333       4.78866       4.69296       4.56566       0.00000      0.724609E-04   0.00000       17.2456      0.156641      0.784001E-01   336.100       0.00000      -334.976       1.73151      0.500000      0.102002       4.66791      -1.09461       0.00000       0.00000       0.00000       0.00000    
