!datetime	Ten_Meter_Uwind_vector_meterPerSecond	Ten_Meter_Vwind_vector_meterPerSecond	Surface_Level_Barometric_Pressure_pascal	Air_Temperature_celsius	Relative_Humidity_percent	Cloud_Cover_decimalFraction	Shortwave_Radiation_Downwelling_wattPerMeterSquared	Precipitation_meterPerSecond
2019-12-31 18:00:00	6.3038403	0	97648.258	-3.2999939	80.634576	0.28304858	0	0
2019-12-31 19:00:00	5.7113569	0	97706.68	-3.9499878	83.841386	0.28304858	0	0
2019-12-31 20:00:00	5.1135312	0	97765.844	-4.5900024	87.127753	0.28304858	0	0
2019-12-31 21:00:00	4.5226983	0	97824.258	-5.2399963	90.628133	0.28304858	0	0
2019-12-31 22:00:00	3.8633145	0	97703.938	-5.7099976	91.947808	0.28304858	0	0
2019-12-31 23:00:00	3.2448421	0	97583.078	-6.169989	93.185181	0.28304858	0	0
2020-01-01 00:00:00	2.7144796	0	97462.117	-6.6399902	94.467009	0.28304858	0	0
2020-01-01 01:00:00	2.7330021	0	97484.039	-6.8200134	94.414006	0.28304858	0	0
2020-01-01 02:00:00	2.8549081	0	97505.32	-7.0000061	94.333028	0.28304858	0	0
2020-01-01 03:00:00	3.0653711	0	97526.602	-7.1799988	94.232713	0.28304858	0	0
2020-01-01 04:00:00	3.0454064	0	97459.562	-7.3899902	94.760567	0.28304858	0	0
2020-01-01 05:00:00	3.0902751	0	97392.617	-7.6099915	95.345073	0.28304858	0	0
2020-01-01 06:00:00	3.1781284	0	97325.578	-7.8299927	95.93975	0.28304858	0	0
2020-01-01 07:00:00	3.6695639	0	97335.258	-7.3899902	94.644381	0.28304858	0	0
2020-01-01 08:00:00	4.2086219	0	97345.578	-6.9499878	93.353605	0.28304858	50.639999	0
2020-01-01 09:00:00	4.7655537	0	97355.359	-6.5099854	92.046568	0.28304858	192.448	0
2020-01-01 10:00:00	5.4732075	0	97249.102	-4.6000122	90.913518	0.28304858	292.36801	0
2020-01-01 11:00:00	6.1827581	0	97142.641	-2.6900085	88.573206	0.28304858	372.75	0
2020-01-01 12:00:00	6.8926411	0	97035.922	-0.78000488	85.420406	0.61374626	358.70599	0
2020-01-01 13:00:00	7.3773842	0	96972.297	-0.23999634	84.337435	0.63291484	326.41501	0
2020-01-01 14:00:00	7.8800001	0	96908.422	0.29000244	83.28462	0.67435055	271.19	0
2020-01-01 15:00:00	8.3968867	0	96844.539	0.83001099	82.151561	0.84017705	151.15199	0
2020-01-01 16:00:00	8.051795	0	96764.719	0.7000061	81.984713	0.97046806	50.816002	0
2020-01-01 17:00:00	7.739929	0	96684.898	0.55999146	81.876292	0.93627779	0	0
2020-01-01 18:00:00	7.4654537	0	96604.883	0.42000732	81.749399	0.90208751	0	0
2020-01-01 19:00:00	7.2661474	0	96653.156	0.51000366	82.463017	0.86789724	0	0
2020-01-01 20:00:00	7.0796185	0	96701.242	0.6	83.167742	0.83370696	0	0
2020-01-01 21:00:00	6.9069022	0	96749.219	0.68999634	83.858894	0.79951668	0	0
2020-01-01 22:00:00	6.3764017	0	96616	0.54000244	85.867618	0.76532641	0	0
2020-01-01 23:00:00	5.8460669	0	96483.32	0.39000854	87.918312	0.73113613	0	0
2020-01-02 00:00:00	5.3132663	0	96350.102	0.2499939	89.93564	0.69694586	0	0
2020-01-02 01:00:00	5.2196649	0	96410.383	0.010003662	90.556619	0.66275558	0	0
2020-01-02 02:00:00	5.1272605	0	96470.656	-0.23999634	91.252815	0.62856531	0	0
2020-01-02 03:00:00	5.0263706	0	96530.297	-0.47998657	91.878244	0.59437503	0	0
2020-01-02 04:00:00	5.2558919	0	96541.844	-0.66998901	92.27433	0.56018476	0	0
2020-01-02 05:00:00	5.526925	0	96552.742	-0.85001221	92.607634	0.52599448	0	0
2020-01-02 06:00:00	5.8272548	0	96564.281	-1.0400146	93.003856	0.4918042	0	0
2020-01-02 07:00:00	5.7394252	0	96597.523	-0.75998535	93.036735	0.45761393	0	0
2020-01-02 08:00:00	5.6402569	0	96630.562	-0.47000732	92.98335	0.42342365	30.336	0
2020-01-02 09:00:00	5.5569777	0	96663.703	-0.19000854	92.957127	0.38923338	130.64	0
2020-01-02 10:00:00	5.4422881	0	96734.18	0.4500061	90.509261	0.69610512	198.608	0
2020-01-02 11:00:00	5.3663488	0	96804.656	1.0899902	88.115577	0.73615125	253.38499	0
2020-01-02 12:00:00	5.3183644	0	96875.141	1.7300049	85.778014	0.64385203	346.508	0
2020-01-02 13:00:00	4.7841405	0	96900.383	1.9500061	84.881546	0.66010312	315.634	0
2020-01-02 14:00:00	4.2730785	0	96925.617	2.1700073	83.986012	0.69808878	262.69299	0
2020-01-02 15:00:00	3.7919125	0	96951.398	2.3900085	83.104992	0.80588001	161.44	0
2020-01-02 16:00:00	3.6467109	0	96991.922	1.4200073	86.377848	0.94397257	55.424	0
2020-01-02 17:00:00	3.5187072	0	97032.039	0.4500061	89.742112	0.90543248	0	0
2020-01-02 18:00:00	3.403836	0	97072.602	-0.51999512	93.178371	0.8668924	0	0
2020-01-02 19:00:00	3.0119928	0	97108.961	-0.94998779	94.078999	0.82835232	0	0
2020-01-02 20:00:00	2.8342371	0	97145.961	-1.3899902	95.021398	0.78981223	0	0
2020-01-02 21:00:00	2.9207192	0	97182.859	-1.8299927	95.927668	0.75127215	0	0
2020-01-02 22:00:00	2.8131299	0	97216.438	-2.0300049	95.992988	0.71273207	0	0
2020-01-02 23:00:00	2.7209007	0	97249.922	-2.2299866	96.042992	0.67419198	0	0
2020-01-03 00:00:00	2.6226894	0	97283.5	-2.4299988	96.071731	0.6356519	0	0
2020-01-03 01:00:00	2.5489214	0	97307.844	-2.65	96.230518	0.59711182	0	0
2020-01-03 02:00:00	2.5091234	0	97332.281	-2.8700012	96.358069	0.55857173	0	0
2020-01-03 03:00:00	2.4995399	0	97356.719	-3.0900024	96.484864	0.52003165	0	0
2020-01-03 04:00:00	2.4508161	0	97409.898	-3.2800049	95.965683	0.48149156	0	0
2020-01-03 05:00:00	2.3890793	0	97463.719	-3.4799866	95.480572	0.44295148	0	0
2020-01-03 06:00:00	2.3418155	0	97516.797	-3.669989	94.904051	0.4044114	0	0
2020-01-03 07:00:00	2.3364932	0	97609.422	-3.1399902	94.237856	0.36587131	0	0
2020-01-03 08:00:00	2.4048285	0	97698.797	-3.0199951	93.76661	0.32733123	48.535999	0
2020-01-03 09:00:00	2.5089041	0	97788.078	-2.8899902	93.234263	0.28879115	185.088	0
2020-01-03 10:00:00	2.0781964	0	97728.641	-2.0700134	90.777873	0.25025106	281.51999	0
2020-01-03 11:00:00	1.718284	0	97669	-1.2399963	88.250557	0.37343341	359.33801	0
2020-01-03 12:00:00	1.4571547	0	97609.156	-0.41998901	85.797836	0.54292608	386.32001	0
2020-01-03 13:00:00	1.5831614	0	97624.023	-0.10999146	85.126383	0.5645397	352.28299	0
2020-01-03 14:00:00	1.7214239	0	97638.781	0.2000061	84.439591	0.61166714	293.69699	0
2020-01-03 15:00:00	1.8767259	0	97653	0.4999939	83.818832	0.78387011	169.60001	0
2020-01-03 16:00:00	1.7509426	0	97754.938	-0.17999878	85.901713	0.92501111	59.456001	0
2020-01-03 17:00:00	1.6144659	0	97856.68	-0.85999146	88.002135	0.90008957	0	0
2020-01-03 18:00:00	1.4885228	0	97958.32	-1.5499939	90.191137	0.87516803	0	0
2020-01-03 19:00:00	1.1923087	0	97893.602	-1.7800049	92.146945	0.8502465	0	0
2020-01-03 20:00:00	1.4183441	0	97829.422	-2.0099854	94.145973	0.82532496	0	0
2020-01-03 21:00:00	2.0063151	0	97765.242	-2.2399963	96.195174	0.80040342	0	0
2020-01-03 22:00:00	2.0776188	0	97764.562	-2.2800049	96.250735	0.77548189	0	0
2020-01-03 23:00:00	2.1552263	0	97763.883	-2.3200134	96.321029	0.75056035	0	0
2020-01-04 00:00:00	2.2403571	0	97763.102	-2.3599915	96.378506	0.72563881	0	1.5666667e-11
2020-01-04 01:00:00	2.8057797	0	97799.68	-2.5300049	94.865608	0.70071728	0	0
2020-01-04 02:00:00	3.3752036	0	97836.258	-2.6999878	93.301149	0.67579574	0	0
2020-01-04 03:00:00	3.9468976	0	97872.742	-2.8599915	91.612771	0.6508742	0	0
2020-01-04 04:00:00	4.0288211	0	97969.797	-3.2299866	91.015426	0.62595267	0	0
2020-01-04 05:00:00	4.2601878	0	98066.758	-3.5900024	90.229457	0.60103113	0	0
2020-01-04 06:00:00	4.6185929	0	98164.359	-3.9499878	89.336777	0.57610959	0	0
2020-01-04 07:00:00	4.8400516	0	98140.602	-4.2599854	88.818643	0.55118806	0	0
2020-01-04 08:00:00	5.0642471	0	98117.281	-4.5700134	88.219008	0.52626652	43.816002	0
2020-01-04 09:00:00	5.2833702	0	98093.422	-4.880011	87.558129	0.50134498	166.51199	0
2020-01-04 10:00:00	5.2538082	0	98142.258	-4.0099854	83.925937	0.47642345	253.36	0
2020-01-04 11:00:00	5.2327909	0	98190.359	-3.130011	80.374636	0.54124642	323.56601	0
2020-01-04 12:00:00	5.2286996	0	98238.898	-2.2599854	77.024234	0.70289084	327.33701	0
2020-01-04 13:00:00	5.3302252	0	98277.281	-1.880011	75.155367	0.7182143	298.79599	0
2020-01-04 14:00:00	5.4318046	0	98315.117	-1.5000061	73.339811	0.74943385	249.549	0
2020-01-04 15:00:00	5.5334347	0	98353.602	-1.1099915	71.515899	0.8104569	164.304	0
2020-01-04 16:00:00	4.8091684	0	98372.398	-1.8200134	75.63851	0.93693898	58.799999	0
2020-01-04 17:00:00	4.0894988	0	98391.844	-2.5199951	79.966171	0.93736633	0	0
2020-01-04 18:00:00	3.3856461	0	98411.18	-3.2299866	84.642003	0.93779369	0	0
2020-01-04 19:00:00	2.8146049	0	98368.422	-3.5799927	86.010855	0.93822104	0	0
2020-01-04 20:00:00	2.3169807	0	98325.461	-3.9299988	87.406829	0.93864839	0	0
2020-01-04 21:00:00	1.9731194	0	98282.602	-4.2800049	88.823826	0.93907575	0	0
2020-01-04 22:00:00	1.8853382	0	98325.023	-4.2999939	89.508611	0.9395031	0	0
2020-01-04 23:00:00	2.0047195	0	98366.797	-4.3200134	90.195339	0.93993046	0	0
2020-01-05 00:00:00	2.3210557	0	98409.219	-4.3299927	90.830356	0.94035781	0	0
2020-01-05 01:00:00	2.8670019	0	98344.156	-4.3500122	91.599507	0.94078517	0	0
2020-01-05 02:00:00	3.5119937	0	98278.562	-4.3599915	92.32426	0.94121252	0	0
2020-01-05 03:00:00	4.2209594	0	98212.961	-4.3700012	93.038668	0.94163988	0	0
2020-01-05 04:00:00	4.7730284	0	98126.961	-4.0900024	91.665093	0.94206723	0	0
2020-01-05 05:00:00	5.3358597	0	98041.5	-3.8100037	90.329095	0.94249459	0	0
2020-01-05 06:00:00	5.889253	0	97956.039	-3.5300049	89.015534	0.94292194	0	0
2020-01-05 07:00:00	6.2300963	0	97849.32	-3.0300049	86.272128	0.94334929	0	0
2020-01-05 08:00:00	6.6836669	0	97741.859	-2.5300049	83.614985	0.94377665	37.952	0
2020-01-05 09:00:00	7.2111027	0	97635.141	-2.0199951	80.99152	0.944204	63.68	0
2020-01-05 10:00:00	6.7174399	0	97595.797	-1.3899902	81.496012	1	96.896004	0
2020-01-05 11:00:00	6.8342155	0	97556.461	-0.7500061	81.733161	1	123.8	0
2020-01-05 12:00:00	7.5199801	0	97516.922	-0.10999146	81.801021	0.88401872	237.092	0
2020-01-05 13:00:00	7.6964019	0	97572.656	0.71999512	80.12642	0.89143546	216.645	0
2020-01-05 14:00:00	8.3485624	0	97628.398	1.5500122	78.409441	0.90883492	181.269	0
2020-01-05 15:00:00	9.3777287	0	97683.5	2.3799988	76.654755	0.80906758	163.952	0
2020-01-05 16:00:00	8.9520111	0	97790.398	1.7000061	78.495396	0.93030616	59.903999	0
2020-01-05 17:00:00	8.5373121	0	97897.203	1.0200134	80.345462	0.89306991	0	0
2020-01-05 18:00:00	8.1177889	0	98003.359	0.35	82.143121	0.85583365	0	0
2020-01-05 19:00:00	7.9429778	0	98010.977	-0.28000488	83.22493	0.8185974	0	0
2020-01-05 20:00:00	7.7806425	0	98019.141	-0.91000977	84.241811	0.78136115	0	0
2020-01-05 21:00:00	7.6282958	0	98026.461	-1.5300049	85.134235	0.7441249	0	0
2020-01-05 22:00:00	7.1077495	0	98136.203	-1.9100098	85.078579	0.70688864	0	0
2020-01-05 23:00:00	6.5940732	0	98246.477	-2.2800049	84.892793	0.66965239	0	0
2020-01-06 00:00:00	6.080477	0	98356.656	-2.65	84.631903	0.63241614	0	0
2020-01-06 01:00:00	5.3380239	0	98322.938	-3.1399902	85.881444	0.59517989	0	0
2020-01-06 02:00:00	4.6224779	0	98289.758	-3.630011	87.13519	0.55794363	0	0
2020-01-06 03:00:00	3.9637609	0	98256.578	-4.1200012	88.373597	0.52070738	0	0
2020-01-06 04:00:00	3.8862322	0	98379.578	-4.2999939	88.080108	0.48347113	0	0
2020-01-06 05:00:00	3.896832	0	98502.578	-4.4899963	87.808244	0.44623488	0	0
2020-01-06 06:00:00	3.9755377	0	98625.578	-4.669989	87.463565	0.40899862	0	0
