Depth [m]	U [m/s]	V [m/s]	T [deg C]	k [J/kg]	eps [W/kg]
-2	0	0	4.567	3e-06	5e-10
-3	0	0	4.578	3e-06	5e-10
-4	0	0	4.367	3e-06	5e-10
-5	0	0	4.333	3e-06	5e-10
-6	0	0	4.311	3e-06	5e-10
-7	0	0	4.3	3e-06	5e-10
-8	0	0	4.3	3e-06	5e-10
-9	0	0	4.289	3e-06	5e-10
-10	0	0	4.211	3e-06	5e-10
-11	0	0	4.2	3e-06	5e-10
-12	0	0	4.144	3e-06	5e-10
-13	0	0	4.167	3e-06	5e-10
-14	0	0	4.122	3e-06	5e-10
-15	0	0	4.144	3e-06	5e-10
-16	0	0	4.089	3e-06	5e-10
-17	0	0	4.067	3e-06	5e-10
-18	0	0	4.078	3e-06	5e-10
-19	0	0	4.056	3e-06	5e-10
-20	0	0	4.044	3e-06	5e-10
-21	0	0	4.056	3e-06	5e-10
-22	0	0	4	3e-06	5e-10
-23	0	0	4.689	3e-06	5e-10
