"",23.000
93.0000,0.0000E+000
94.0000,3.2455E+002
95.0000,2.2141E+002
96.0000,2.2841E+002
97.0000,3.1783E+002
98.0000,2.7508E+002
99.0000,2.4612E+002
100.0000,2.8376E+002
101.0000,2.9176E+002
102.0000,3.4121E+002
103.0000,3.1673E+002
104.0000,2.0944E+002
105.0000,2.2207E+002
106.0000,2.3500E+002
107.0000,2.7357E+002
108.0000,2.5848E+002
109.0000,2.9024E+002
110.0000,2.1902E+002
111.0000,2.0842E+002
112.0000,2.9338E+002
113.0000,2.9673E+002
114.0000,2.9245E+002
115.0000,2.5998E+002
116.0000,2.3578E+002
117.0000,2.4534E+002
118.0000,2.8595E+002
119.0000,3.0997E+002
120.0000,2.5139E+002
121.0000,2.4311E+002
122.0000,3.4937E+002
123.0000,2.6285E+002
124.0000,2.3255E+002
125.0000,2.8790E+002
126.0000,2.5868E+002
127.0000,2.4760E+002
128.0000,2.2532E+002
129.0000,2.0145E+002
130.0000,2.8415E+002
131.0000,2.8014E+002
132.0000,2.2208E+002
133.0000,2.3357E+002
134.0000,3.5891E+002
135.0000,3.5749E+002
136.0000,2.7691E+002
137.0000,3.5061E+002
138.0000,3.3659E+002
139.0000,3.4768E+002
140.0000,3.5568E+002
141.0000,3.1476E+002
142.0000,3.6022E+002
143.0000,3.6991E+002
144.0000,3.1991E+002
145.0000,3.4249E+002
146.0000,3.7675E+002
147.0000,3.4409E+002
148.0000,3.9118E+002
149.0000,3.4133E+002
150.0000,2.7612E+002
151.0000,2.5807E+002
152.0000,2.8346E+002
153.0000,3.4188E+002
154.0000,4.0106E+002
155.0000,3.3261E+002
156.0000,3.4971E+002
157.0000,3.2921E+002
158.0000,3.2820E+002
159.0000,3.1693E+002
160.0000,3.1894E+002
161.0000,3.9802E+002
162.0000,2.8733E+002
163.0000,2.8834E+002
164.0000,2.8953E+002
165.0000,2.5994E+002
166.0000,2.5621E+002
167.0000,2.7653E+002
168.0000,3.0509E+002
169.0000,3.1237E+002
170.0000,3.2463E+002
171.0000,3.9439E+002
172.0000,3.4133E+002
173.0000,3.7890E+002
174.0000,3.6264E+002
175.0000,2.9781E+002
176.0000,3.1607E+002
177.0000,3.2448E+002
178.0000,3.5422E+002
179.0000,3.4397E+002
180.0000,3.8862E+002
181.0000,4.0215E+002
182.0000,3.6517E+002
183.0000,3.5503E+002
184.0000,3.3808E+002
185.0000,3.4056E+002
186.0000,3.4121E+002
187.0000,3.5154E+002
188.0000,3.6796E+002
189.0000,3.8745E+002
190.0000,3.6564E+002
191.0000,3.9904E+002
192.0000,3.3390E+002
193.0000,3.5157E+002
194.0000,3.1400E+002
195.0000,3.2750E+002
196.0000,4.0716E+002
197.0000,3.4043E+002
198.0000,3.1807E+002
199.0000,3.7253E+002
200.0000,3.9628E+002
201.0000,3.1523E+002
202.0000,3.3479E+002
203.0000,3.8774E+002
204.0000,3.2582E+002
205.0000,3.5194E+002
206.0000,3.5717E+002
207.0000,3.8399E+002
208.0000,4.1602E+002
209.0000,3.2092E+002
210.0000,3.5296E+002
211.0000,3.4647E+002
212.0000,3.0932E+002
213.0000,3.4934E+002
214.0000,3.5593E+002
