"",23.000
93.0000,0.0000E+000
94.0000,-1.6484E+001
95.0000,-2.0137E+001
96.0000,-2.9563E+001
97.0000,-3.3122E+000
98.0000,2.9907E+000
99.0000,-6.5622E+001
100.0000,-9.9307E+001
101.0000,-4.5727E+001
102.0000,-3.1842E+001
103.0000,-1.3681E+002
104.0000,-1.1199E+002
105.0000,-8.9626E+001
106.0000,-8.8220E+001
107.0000,-7.3753E+001
108.0000,-7.5389E+001
109.0000,-6.8558E+001
110.0000,-6.0713E+001
111.0000,-1.1769E+002
112.0000,-5.9583E+001
113.0000,-3.7992E+001
114.0000,-4.5400E+001
115.0000,-6.8187E+001
116.0000,-8.4711E+001
117.0000,-7.7494E+001
118.0000,-4.0699E+001
119.0000,-4.0639E+001
120.0000,-1.3789E+002
121.0000,-3.7738E+001
122.0000,-5.4854E+001
123.0000,-4.6704E+001
124.0000,-9.3542E+001
125.0000,-1.0746E+002
126.0000,-7.7509E+001
127.0000,-7.1760E+001
128.0000,-1.0394E+002
129.0000,-1.1554E+002
130.0000,-7.3284E+001
131.0000,-9.4118E+001
132.0000,-9.9437E+001
133.0000,-5.8518E+001
134.0000,-7.6933E+001
135.0000,-4.5024E+000
136.0000,-5.4474E+001
137.0000,-6.4706E+001
138.0000,-7.9592E+001
139.0000,-8.5806E+001
140.0000,-4.3911E+001
141.0000,-5.3091E+001
142.0000,-3.1840E+001
143.0000,-2.7251E+001
144.0000,-1.8463E+001
145.0000,-1.7380E+001
146.0000,-1.8438E+001
147.0000,-2.4054E+001
148.0000,-1.7791E+001
149.0000,-5.0216E+001
150.0000,-8.2272E+001
151.0000,-6.3674E+001
152.0000,-7.4694E+001
153.0000,-3.8912E+001
154.0000,-4.0213E+000
155.0000,-3.2909E+001
156.0000,-3.3934E+001
157.0000,-4.0600E+001
158.0000,-7.4278E+001
159.0000,-5.5099E+001
160.0000,-4.7757E+001
161.0000,-3.0508E+001
162.0000,-7.3029E+001
163.0000,-5.8485E+001
164.0000,-6.6127E+001
165.0000,-9.4745E+001
166.0000,-8.9622E+001
167.0000,-7.1188E+001
168.0000,-4.5924E+001
169.0000,-4.2536E+001
170.0000,-3.5177E+001
171.0000,-6.0040E+000
172.0000,-3.2188E+001
173.0000,-2.6897E+001
174.0000,-4.4939E+001
175.0000,-6.3872E+001
176.0000,-4.1384E+001
177.0000,-3.5509E+001
178.0000,-2.0137E+001
179.0000,-1.2645E+001
180.0000,-1.6502E+001
181.0000,-9.3440E+000
182.0000,-1.9089E+001
183.0000,-2.6434E+001
184.0000,-1.5720E+001
185.0000,-2.9747E+001
186.0000,-1.9677E+001
187.0000,-3.6283E+001
188.0000,-3.3326E+001
189.0000,-2.0262E+001
190.0000,-2.8004E+001
191.0000,-2.0172E+001
192.0000,-3.7400E+001
193.0000,-3.0878E+001
194.0000,-3.3904E+001
195.0000,-5.5000E+001
196.0000,-1.5773E+001
197.0000,-3.7938E+001
198.0000,-4.3139E+001
199.0000,-2.2361E+001
200.0000,1.3792E-001
201.0000,-4.6997E+001
202.0000,-2.6071E+001
203.0000,-2.7340E+001
204.0000,-4.6428E+001
205.0000,-2.3842E+001
206.0000,-1.4219E+001
207.0000,1.0434E+000
208.0000,5.1061E+000
209.0000,-2.4162E+001
210.0000,-1.1312E+001
211.0000,-1.5230E+001
212.0000,-3.0975E+001
213.0000,-9.0155E+000
214.0000,-2.4636E+001
215.0000,-4.3485E+001
216.0000,-4.1920E+001
217.0000,-3.2356E+001
218.0000,-3.0264E+001
219.0000,-3.2688E+001
220.0000,-2.0559E+001
221.0000,1.3918E+000
222.0000,6.6512E+000
223.0000,-1.6467E+001
224.0000,-2.0127E+001
225.0000,-2.4269E+001
226.0000,-1.5662E+001
227.0000,-1.5713E+001
228.0000,-2.9887E+001
229.0000,-1.0704E+001
230.0000,-2.4520E+001
231.0000,-1.3873E+001
232.0000,-2.2447E+001
233.0000,-1.7921E+001
234.0000,-1.3011E+001
235.0000,-4.4403E+000
236.0000,1.9821E+000
237.0000,8.2508E+000
238.0000,5.1063E-002
239.0000,3.4074E+000
240.0000,6.9122E+000
241.0000,-5.1893E+000
242.0000,-2.5940E+001
243.0000,-2.5647E+001
244.0000,-2.3283E+001
245.0000,-6.6282E-001
246.0000,-1.3015E+001
247.0000,-3.3574E+001
248.0000,-7.9103E+000
249.0000,-2.0472E+001
250.0000,1.2969E+001
251.0000,-5.2572E+001
252.0000,-3.9711E+001
253.0000,-2.6905E+001
254.0000,-1.4751E+001
255.0000,7.3919E+000
256.0000,-3.9763E+000
257.0000,-3.2508E+000
258.0000,-5.2385E+000
259.0000,-2.4090E+000
260.0000,3.4744E-001
261.0000,-1.5486E+001
262.0000,-4.6164E+001
263.0000,-4.6129E+001
264.0000,-3.7076E+001
265.0000,-7.4631E+000
266.0000,-4.4764E+000
267.0000,-2.4315E+000
268.0000,3.4095E+000
269.0000,1.1496E+001
270.0000,3.8831E+001
271.0000,-2.7443E+001
272.0000,-3.4851E+001
273.0000,-3.1833E+001
274.0000,-3.6708E+001
275.0000,-3.9246E+001
276.0000,-2.3787E+001
277.0000,-2.3161E+001
278.0000,-5.4679E+001
279.0000,-1.6597E+001
280.0000,8.4310E+000
281.0000,-9.5398E+000
282.0000,-1.9932E+001
283.0000,3.0212E+001
284.0000,-2.5267E+001
285.0000,1.9375E+001
286.0000,-3.3282E+001
287.0000,-2.9241E+001
288.0000,-1.0321E+001
289.0000,-5.9876E+001
