"",23.000
93.0000,0.0000E+000
94.0000,-2.7946E+001
95.0000,-2.7706E+001
96.0000,-3.9521E+001
97.0000,-1.6298E+001
98.0000,-1.0887E+001
99.0000,-1.1066E+002
100.0000,-1.4744E+002
101.0000,-7.8049E+001
102.0000,-5.1701E+001
103.0000,-1.9895E+002
104.0000,-1.5259E+002
105.0000,-1.1226E+002
106.0000,-1.1645E+002
107.0000,-1.0490E+002
108.0000,-1.1512E+002
109.0000,-1.1384E+002
110.0000,-1.0368E+002
111.0000,-1.8803E+002
112.0000,-1.0189E+002
113.0000,-6.2585E+001
114.0000,-7.7127E+001
115.0000,-1.0769E+002
116.0000,-1.3666E+002
117.0000,-1.3682E+002
118.0000,-8.2546E+001
119.0000,-8.7343E+001
120.0000,-2.3811E+002
121.0000,-9.0179E+001
122.0000,-1.2240E+002
123.0000,-1.2274E+002
124.0000,-1.5907E+002
125.0000,-1.7525E+002
126.0000,-1.3322E+002
127.0000,-1.4019E+002
128.0000,-1.6644E+002
129.0000,-1.5709E+002
130.0000,-1.3318E+002
131.0000,-1.4662E+002
132.0000,-1.6803E+002
133.0000,-1.2725E+002
134.0000,-1.4645E+002
135.0000,-1.8263E+001
136.0000,-1.2360E+002
137.0000,-1.4776E+002
138.0000,-1.6108E+002
139.0000,-1.6339E+002
140.0000,-9.5922E+001
141.0000,-1.1091E+002
142.0000,-7.3367E+001
143.0000,-6.8908E+001
144.0000,-5.5388E+001
145.0000,-5.9098E+001
146.0000,-6.4659E+001
147.0000,-8.5430E+001
148.0000,-6.4106E+001
149.0000,-1.5748E+002
150.0000,-1.8874E+002
151.0000,-1.6440E+002
152.0000,-1.7972E+002
153.0000,-1.1348E+002
154.0000,-3.4079E+001
155.0000,-1.2226E+002
156.0000,-1.3051E+002
157.0000,-1.4160E+002
158.0000,-1.8864E+002
159.0000,-1.5291E+002
160.0000,-1.5023E+002
161.0000,-1.3052E+002
162.0000,-1.9898E+002
163.0000,-1.6858E+002
164.0000,-1.6002E+002
165.0000,-1.9296E+002
166.0000,-1.8355E+002
167.0000,-1.7130E+002
168.0000,-1.3476E+002
169.0000,-1.2589E+002
170.0000,-1.1578E+002
171.0000,-4.5688E+001
172.0000,-1.0710E+002
173.0000,-1.0290E+002
174.0000,-1.2536E+002
175.0000,-1.6568E+002
176.0000,-1.2760E+002
177.0000,-1.2968E+002
178.0000,-7.9988E+001
179.0000,-7.1129E+001
180.0000,-6.2060E+001
181.0000,-4.7248E+001
182.0000,-7.7277E+001
183.0000,-9.9646E+001
184.0000,-8.3347E+001
185.0000,-1.1984E+002
186.0000,-1.1627E+002
187.0000,-1.6440E+002
188.0000,-1.4065E+002
189.0000,-1.0327E+002
190.0000,-1.2267E+002
191.0000,-9.0818E+001
192.0000,-1.2969E+002
193.0000,-1.1911E+002
194.0000,-1.1988E+002
195.0000,-1.6143E+002
196.0000,-5.9366E+001
197.0000,-1.2209E+002
198.0000,-1.5023E+002
199.0000,-8.2846E+001
200.0000,-4.8809E+001
201.0000,-1.4951E+002
202.0000,-1.0110E+002
203.0000,-9.3208E+001
204.0000,-1.3602E+002
205.0000,-8.6825E+001
206.0000,-5.7869E+001
207.0000,-1.2624E+001
208.0000,-4.0712E+000
209.0000,-8.8194E+001
210.0000,-5.1368E+001
211.0000,-5.7636E+001
212.0000,-9.0800E+001
213.0000,-4.3131E+001
214.0000,-8.5224E+001
215.0000,-1.0106E+002
216.0000,-9.6424E+001
217.0000,-9.8207E+001
