"",23.000
93.0000,0.0000E+000
94.0000,-3.3458E+002
95.0000,-3.3348E+002
96.0000,-3.4129E+002
97.0000,-3.4936E+002
98.0000,-3.6004E+002
99.0000,-3.6640E+002
100.0000,-3.6794E+002
101.0000,-3.7450E+002
102.0000,-3.7912E+002
103.0000,-3.8274E+002
104.0000,-3.7658E+002
105.0000,-3.7707E+002
106.0000,-3.7991E+002
107.0000,-3.8258E+002
108.0000,-3.8195E+002
109.0000,-3.8595E+002
110.0000,-3.8580E+002
111.0000,-3.8560E+002
112.0000,-3.8441E+002
113.0000,-3.8626E+002
114.0000,-3.9104E+002
115.0000,-3.9175E+002
116.0000,-3.9452E+002
117.0000,-3.9766E+002
118.0000,-3.9952E+002
119.0000,-4.0348E+002
120.0000,-3.9593E+002
121.0000,-3.9849E+002
122.0000,-4.0048E+002
123.0000,-4.0207E+002
124.0000,-4.0319E+002
125.0000,-4.0312E+002
126.0000,-4.0257E+002
127.0000,-3.9659E+002
128.0000,-4.0388E+002
129.0000,-3.9315E+002
130.0000,-4.0102E+002
131.0000,-3.9585E+002
132.0000,-4.0149E+002
133.0000,-4.0393E+002
134.0000,-4.0445E+002
135.0000,-4.0747E+002
136.0000,-4.1030E+002
137.0000,-4.1243E+002
138.0000,-4.1102E+002
139.0000,-4.0846E+002
140.0000,-4.0824E+002
141.0000,-4.1079E+002
142.0000,-4.1322E+002
143.0000,-4.1579E+002
144.0000,-4.1766E+002
145.0000,-4.2312E+002
146.0000,-4.2623E+002
147.0000,-4.2869E+002
148.0000,-4.3217E+002
149.0000,-4.3164E+002
150.0000,-4.2991E+002
151.0000,-4.2723E+002
152.0000,-4.2216E+002
153.0000,-4.2601E+002
154.0000,-4.3079E+002
155.0000,-4.3484E+002
156.0000,-4.3737E+002
157.0000,-4.3909E+002
158.0000,-4.3851E+002
159.0000,-4.3693E+002
160.0000,-4.3708E+002
161.0000,-4.3444E+002
162.0000,-4.3196E+002
163.0000,-4.2953E+002
164.0000,-4.3036E+002
165.0000,-4.2685E+002
166.0000,-4.2141E+002
167.0000,-4.2418E+002
168.0000,-4.2582E+002
169.0000,-4.2695E+002
170.0000,-4.2820E+002
171.0000,-4.3211E+002
172.0000,-4.3289E+002
173.0000,-4.3437E+002
174.0000,-4.3363E+002
175.0000,-4.3004E+002
176.0000,-4.2890E+002
177.0000,-4.3083E+002
178.0000,-4.3073E+002
179.0000,-4.3563E+002
180.0000,-4.3861E+002
181.0000,-4.3842E+002
182.0000,-4.4255E+002
183.0000,-4.4654E+002
184.0000,-4.4912E+002
185.0000,-4.5217E+002
186.0000,-4.5412E+002
187.0000,-4.5602E+002
188.0000,-4.5423E+002
189.0000,-4.5532E+002
190.0000,-4.5406E+002
191.0000,-4.5285E+002
192.0000,-4.4143E+002
193.0000,-4.4192E+002
194.0000,-4.4272E+002
195.0000,-4.4302E+002
196.0000,-4.4020E+002
197.0000,-4.4249E+002
198.0000,-4.4246E+002
199.0000,-4.4254E+002
200.0000,-4.3907E+002
201.0000,-4.3808E+002
202.0000,-4.3968E+002
203.0000,-4.4018E+002
204.0000,-4.3927E+002
205.0000,-4.3682E+002
206.0000,-4.2593E+002
207.0000,-4.2107E+002
208.0000,-4.2080E+002
209.0000,-4.2009E+002
210.0000,-4.1736E+002
211.0000,-4.2214E+002
212.0000,-4.2136E+002
213.0000,-4.2395E+002
214.0000,-4.2536E+002
215.0000,-4.1916E+002
216.0000,-4.1348E+002
217.0000,-4.1248E+002
218.0000,-4.1255E+002
219.0000,-4.1292E+002
220.0000,-4.1240E+002
221.0000,-4.1459E+002
222.0000,-4.1802E+002
223.0000,-4.2050E+002
224.0000,-4.1732E+002
225.0000,-4.1529E+002
226.0000,-4.1522E+002
227.0000,-4.1593E+002
228.0000,-4.0875E+002
229.0000,-4.0471E+002
230.0000,-4.0566E+002
231.0000,-4.0519E+002
232.0000,-4.0553E+002
233.0000,-4.0363E+002
234.0000,-4.0544E+002
235.0000,-4.0609E+002
236.0000,-4.1083E+002
