"",23.000
93.0000,2.3000E+001
94.0000,2.3000E+001
95.0000,2.3000E+001
96.0000,2.3000E+001
97.0000,2.3000E+001
98.0000,2.3000E+001
99.0000,2.3000E+001
100.0000,2.3000E+001
101.0000,2.3000E+001
102.0000,2.3000E+001
103.0000,2.3000E+001
104.0000,2.3000E+001
105.0000,2.3000E+001
106.0000,2.3000E+001
107.0000,2.3000E+001
108.0000,2.3000E+001
109.0000,2.3000E+001
110.0000,2.3000E+001
111.0000,2.3000E+001
112.0000,2.3000E+001
113.0000,2.3000E+001
114.0000,2.3000E+001
115.0000,2.3000E+001
116.0000,2.3000E+001
117.0000,2.3000E+001
118.0000,2.3000E+001
119.0000,2.3000E+001
120.0000,2.3000E+001
121.0000,2.3000E+001
122.0000,2.3000E+001
123.0000,2.3000E+001
124.0000,2.3000E+001
125.0000,2.3000E+001
126.0000,2.3000E+001
127.0000,2.3000E+001
128.0000,2.3000E+001
129.0000,2.3000E+001
130.0000,2.3000E+001
131.0000,2.3000E+001
132.0000,2.3000E+001
133.0000,2.3000E+001
134.0000,2.3000E+001
135.0000,2.3000E+001
136.0000,2.3000E+001
137.0000,2.3000E+001
138.0000,2.3000E+001
139.0000,2.3000E+001
140.0000,2.3000E+001
141.0000,2.3000E+001
142.0000,2.3000E+001
143.0000,2.3000E+001
144.0000,2.3000E+001
145.0000,2.3000E+001
146.0000,2.3000E+001
147.0000,2.3000E+001
148.0000,2.3000E+001
149.0000,2.3000E+001
150.0000,2.3000E+001
151.0000,2.3000E+001
152.0000,2.3000E+001
153.0000,2.3000E+001
154.0000,2.3000E+001
155.0000,2.3000E+001
156.0000,2.3000E+001
157.0000,2.3000E+001
158.0000,2.3000E+001
159.0000,2.3000E+001
160.0000,2.3000E+001
161.0000,2.3000E+001
162.0000,2.3000E+001
163.0000,2.3000E+001
164.0000,2.3000E+001
165.0000,2.3000E+001
166.0000,2.3000E+001
167.0000,2.3000E+001
168.0000,2.3000E+001
169.0000,2.3000E+001
170.0000,2.3000E+001
171.0000,2.3000E+001
172.0000,2.3000E+001
173.0000,2.3000E+001
174.0000,2.3000E+001
175.0000,2.3000E+001
176.0000,2.3000E+001
177.0000,2.3000E+001
178.0000,2.3000E+001
179.0000,2.3000E+001
180.0000,2.3000E+001
181.0000,2.3000E+001
182.0000,2.3000E+001
183.0000,2.3000E+001
184.0000,2.3000E+001
185.0000,2.3000E+001
186.0000,2.3000E+001
187.0000,2.3000E+001
188.0000,2.3000E+001
189.0000,2.3000E+001
190.0000,2.3000E+001
191.0000,2.3000E+001
192.0000,2.3000E+001
193.0000,2.3000E+001
194.0000,2.3000E+001
195.0000,2.3000E+001
196.0000,2.3000E+001
197.0000,2.3000E+001
198.0000,2.3000E+001
199.0000,2.3000E+001
200.0000,2.3000E+001
201.0000,2.3000E+001
202.0000,2.3000E+001
203.0000,2.3000E+001
204.0000,2.3000E+001
205.0000,2.3000E+001
206.0000,2.3000E+001
207.0000,2.3000E+001
208.0000,2.3000E+001
209.0000,2.3000E+001
210.0000,2.3000E+001
211.0000,2.3000E+001
212.0000,2.3000E+001
213.0000,2.3000E+001
214.0000,2.3000E+001
215.0000,2.3000E+001
216.0000,2.3000E+001
217.0000,2.3000E+001
218.0000,2.3000E+001
219.0000,2.3000E+001
220.0000,2.3000E+001
221.0000,2.3000E+001
222.0000,2.3000E+001
223.0000,2.3000E+001
224.0000,2.3000E+001
225.0000,2.3000E+001
226.0000,2.3000E+001
227.0000,2.3000E+001
228.0000,2.3000E+001
229.0000,2.3000E+001
230.0000,2.3000E+001
231.0000,2.3000E+001
232.0000,2.3000E+001
233.0000,2.3000E+001
234.0000,2.3000E+001
235.0000,2.3000E+001
236.0000,2.3000E+001
237.0000,2.3000E+001
238.0000,2.3000E+001
239.0000,2.3000E+001
240.0000,2.3000E+001
241.0000,2.3000E+001
242.0000,2.3000E+001
243.0000,2.3000E+001
244.0000,2.3000E+001
245.0000,2.3000E+001
246.0000,2.3000E+001
247.0000,2.3000E+001
248.0000,2.3000E+001
249.0000,2.3000E+001
250.0000,2.3000E+001
251.0000,2.3000E+001
252.0000,2.3000E+001
253.0000,2.3000E+001
254.0000,2.3000E+001
255.0000,2.3000E+001
256.0000,2.3000E+001
257.0000,2.3000E+001
258.0000,2.3000E+001
259.0000,2.3000E+001
260.0000,2.3000E+001
261.0000,2.3000E+001
262.0000,2.3000E+001
263.0000,2.3000E+001
264.0000,2.3000E+001
265.0000,2.3000E+001
266.0000,2.3000E+001
267.0000,2.3000E+001
268.0000,2.3000E+001
269.0000,2.3000E+001
270.0000,2.3000E+001
271.0000,2.3000E+001
272.0000,2.3000E+001
273.0000,2.3000E+001
274.0000,2.3000E+001
275.0000,2.3000E+001
276.0000,2.3000E+001
277.0000,2.3000E+001
278.0000,2.3000E+001
279.0000,2.3000E+001
280.0000,2.3000E+001
281.0000,2.3000E+001
282.0000,2.3000E+001
283.0000,2.3000E+001
284.0000,2.3000E+001
285.0000,2.3000E+001
286.0000,2.3000E+001
287.0000,2.3000E+001
288.0000,2.3000E+001
289.0000,2.3000E+001
290.0000,2.3000E+001
291.0000,2.3000E+001
292.0000,2.3000E+001
293.0000,2.3000E+001
294.0000,2.3000E+001
295.0000,2.3000E+001
296.0000,2.3000E+001
297.0000,2.3000E+001
298.0000,2.3000E+001
299.0000,2.3000E+001
300.0000,2.3000E+001
301.0000,2.3000E+001
302.0000,2.3000E+001
303.0000,2.3000E+001
304.0000,2.3000E+001
305.0000,2.3000E+001
306.0000,2.3000E+001
307.0000,2.3000E+001
308.0000,2.3000E+001
309.0000,2.3000E+001
310.0000,2.3000E+001
311.0000,2.3000E+001
312.0000,2.3000E+001
313.0000,2.3000E+001
314.0000,2.3000E+001
315.0000,2.3000E+001
316.0000,2.3000E+001
317.0000,2.3000E+001
318.0000,2.3000E+001
319.0000,2.3000E+001
320.0000,2.3000E+001
321.0000,2.3000E+001
322.0000,2.3000E+001
323.0000,2.3000E+001
324.0000,2.3000E+001
325.0000,2.3000E+001
