datetime,wtr_0,wtr_0.5,wtr_1,wtr_1.5,wtr_2,wtr_2.5,wtr_3,wtr_3.5,wtr_4,wtr_4.5,wtr_5,wtr_5.5,wtr_6,wtr_6.5,wtr_7,wtr_7.5,wtr_8,wtr_8.5,wtr_9,wtr_9.5,wtr_10,wtr_10.5,wtr_11,wtr_11.5,wtr_12,wtr_12.5,wtr_13,wtr_13.5,wtr_14,wtr_14.5,wtr_15,wtr_15.5,wtr_16,wtr_16.5,wtr_17,wtr_17.5,wtr_18,wtr_18.5,wtr_19,wtr_19.5,wtr_20,wtr_20.5,wtr_21,wtr_21.5,wtr_22,wtr_22.5,wtr_23,wtr_23.5,wtr_24,wtr_24.5
2020-04-03 00:00:00,4.57,4.57,4.57,4.57,4.57,4.57,4.58,4.47,4.38,4.35,4.33,4.32,4.31,4.31,4.3,4.3,4.3,4.29,4.29,4.25,4.21,4.21,4.2,4.17,4.15,4.16,4.16,4.14,4.13,4.13,4.14,4.12,4.09,4.08,4.07,4.07,4.07,4.07,4.06,4.05,4.05,4.05,4.05,4.03,4.01,4.34,4.63,4.69,4.69,4.69
2020-04-04 00:00:00,4.77,4.74,4.69,4.64,4.61,4.57,4.54,4.5,4.47,4.44,4.41,4.39,4.37,4.35,4.34,4.32,4.3,4.29,4.28,4.26,4.25,4.24,4.23,4.22,4.21,4.2,4.19,4.19,4.18,4.17,4.17,4.16,4.16,4.15,4.15,4.15,4.15,4.15,4.15,4.14,4.14,4.14,4.14,4.14,4.15,4.17,4.18,4.18,4.18,4.18
2020-04-05 00:00:00,4.44,4.45,4.45,4.44,4.44,4.44,4.43,4.43,4.43,4.42,4.42,4.42,4.41,4.41,4.41,4.4,4.4,4.4,4.39,4.39,4.39,4.38,4.38,4.38,4.38,4.37,4.37,4.37,4.37,4.36,4.36,4.36,4.36,4.36,4.36,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35
2020-04-06 00:00:00,4.74,4.72,4.67,4.61,4.57,4.54,4.51,4.49,4.48,4.46,4.45,4.44,4.44,4.43,4.43,4.42,4.42,4.42,4.41,4.41,4.41,4.41,4.41,4.41,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4,4.4
2020-04-07 00:00:00,4.88,4.86,4.79,4.72,4.67,4.64,4.61,4.59,4.57,4.56,4.55,4.54,4.53,4.53,4.52,4.51,4.51,4.5,4.5,4.5,4.49,4.49,4.49,4.48,4.48,4.48,4.47,4.47,4.47,4.47,4.46,4.46,4.46,4.46,4.46,4.46,4.46,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45,4.45
2020-04-08 00:00:00,5.47,5.38,5.21,5.08,4.99,4.92,4.86,4.81,4.77,4.74,4.71,4.68,4.66,4.64,4.62,4.61,4.59,4.58,4.57,4.57,4.56,4.55,4.55,4.54,4.54,4.53,4.53,4.52,4.52,4.52,4.52,4.52,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51,4.51
2020-04-09 00:00:00,5.56,5.53,5.47,5.41,5.33,5.26,5.19,5.12,5.06,5.01,4.96,4.91,4.87,4.84,4.8,4.77,4.75,4.72,4.7,4.68,4.67,4.65,4.64,4.62,4.61,4.61,4.6,4.59,4.59,4.58,4.58,4.58,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56
2020-04-10 00:00:00,4.87,4.87,4.88,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.89,4.88,4.88,4.87,4.87,4.86,4.86,4.85,4.84,4.83,4.82,4.81,4.8,4.8,4.79,4.78,4.77,4.77,4.76,4.76,4.76,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75,4.75
2020-04-11 00:00:00,4.72,4.72,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72
2020-04-12 00:00:00,5.07,5.04,4.98,4.92,4.87,4.83,4.81,4.79,4.77,4.76,4.75,4.75,4.74,4.74,4.73,4.73,4.73,4.73,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72,4.72
2020-04-13 00:00:00,5.23,5.22,5.18,5.15,5.11,5.07,5.03,5,4.96,4.93,4.91,4.88,4.86,4.85,4.83,4.82,4.8,4.79,4.79,4.78,4.77,4.77,4.76,4.76,4.75,4.75,4.75,4.75,4.74,4.74,4.74,4.74,4.74,4.74,4.74,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73,4.73
2020-04-14 00:00:00,4.77,4.77,4.78,4.79,4.79,4.79,4.79,4.79,4.79,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.8,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.79,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78
2020-04-15 00:00:00,4.5,4.51,4.52,4.53,4.54,4.54,4.54,4.55,4.55,4.55,4.55,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.57,4.58,4.58,4.58,4.58,4.58,4.58,4.58
2020-04-16 00:00:00,4.29,4.3,4.32,4.33,4.33,4.34,4.34,4.34,4.35,4.35,4.35,4.35,4.35,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.36,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37,4.37
2020-04-17 00:00:00,4.21,4.21,4.23,4.23,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.24,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25
