datetime,dens_0,dens_0.5,dens_1,dens_1.5,dens_2,dens_2.5,dens_3,dens_3.5,dens_4,dens_4.5,dens_5,dens_5.5,dens_6,dens_6.5,dens_7,dens_7.5,dens_8,dens_8.5,dens_9,dens_9.5,dens_10,dens_10.5,dens_11,dens_11.5,dens_12,dens_12.5,dens_13,dens_13.5,dens_14,dens_14.5,dens_15,dens_15.5,dens_16,dens_16.5,dens_17,dens_17.5,dens_18,dens_18.5,dens_19,dens_19.5,dens_20,dens_20.5,dens_21,dens_21.5,dens_22,dens_22.5,dens_23,dens_23.5,dens_24
2020-04-03 00:00:00,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-04 00:00:00,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-05 00:00:00,999.96,999.96,999.96,999.96,999.96,999.96,999.96,999.96,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-06 00:00:00,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.96,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-07 00:00:00,999.9,999.9,999.9,999.9,999.9,999.92,999.94,999.95,999.95,999.95,999.95,999.96,999.96,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-08 00:00:00,999.88,999.88,999.88,999.88,999.88,999.88,999.88,999.91,999.94,999.95,999.95,999.96,999.96,999.96,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-09 00:00:00,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-10 00:00:00,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-11 00:00:00,999.93,999.93,999.93,999.93,999.93,999.93,999.93,999.93,999.93,999.94,999.94,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.96,999.96,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
2020-04-12 00:00:00,999.92,999.92,999.92,999.92,999.92,999.92,999.92,999.92,999.92,999.92,999.92,999.94,999.94,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.95,999.96,999.96,999.96,999.96,999.96,999.96,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97,999.97
