datetime,wtr_0,wtr_0.5,wtr_1,wtr_1.5,wtr_2,wtr_2.5,wtr_3,wtr_3.5,wtr_4,wtr_4.5,wtr_5,wtr_5.5,wtr_6,wtr_6.5,wtr_7,wtr_7.5,wtr_8,wtr_8.5,wtr_9,wtr_9.5,wtr_10,wtr_10.5,wtr_11,wtr_11.5,wtr_12,wtr_12.5,wtr_13,wtr_13.5,wtr_14,wtr_14.5,wtr_15,wtr_15.5,wtr_16,wtr_16.5,wtr_17,wtr_17.5,wtr_18,wtr_18.5,wtr_19,wtr_19.5,wtr_20,wtr_20.5,wtr_21,wtr_21.5,wtr_22,wtr_22.5,wtr_23,wtr_23.5,wtr_24
2020-04-03 00:00:00,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.82,4.66,4.5,4.38,4.26,4.24,4.22,4.21,4.19,4.18,4.17,4.16,4.15,4.14,4.13,4.13,4.12,4.11,4.1,4.1,4.09,4.09,4.09,4.09,4.09,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08,4.08
2020-04-04 00:00:00,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
2020-04-05 00:00:00,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.29,5.06,4.83,4.79,4.74,4.73,4.71,4.7,4.69,4.68,4.68,4.68,4.67,4.67,4.67,4.67,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
2020-04-06 00:00:00,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.65,5.48,5.31,5.06,4.8,4.77,4.74,4.73,4.71,4.7,4.69,4.69,4.68,4.68,4.67,4.67,4.67,4.67,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
2020-04-07 00:00:00,7.14,7.14,7.14,7.14,7.14,6.56,5.99,5.88,5.78,5.69,5.6,5.46,5.33,5.18,5.04,4.96,4.88,4.84,4.79,4.77,4.74,4.72,4.71,4.7,4.69,4.68,4.68,4.67,4.67,4.67,4.67,4.67,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
2020-04-08 00:00:00,7.54,7.54,7.54,7.54,7.54,7.54,7.54,6.77,5.99,5.84,5.68,5.55,5.41,5.3,5.18,5.09,5,4.94,4.88,4.84,4.8,4.78,4.75,4.73,4.72,4.71,4.7,4.69,4.68,4.68,4.67,4.67,4.67,4.67,4.67,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
2020-04-09 00:00:00,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.84,5.41,4.98,4.83,4.68,4.68,4.68,4.67,4.67,4.67,4.67,4.67,4.67,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66,4.66
2020-04-10 00:00:00,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.74,5.27,4.8,4.75,4.7,4.69,4.69,4.68,4.68,4.67,4.67,4.67,4.67,4.67,4.67,4.67,4.67
2020-04-11 00:00:00,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.31,6.19,6.06,5.93,5.8,5.79,5.78,5.77,5.76,5.76,5.76,5.75,5.75,5.75,5.74,5.74,5.73,5.73,5.72,5.7,5.69,5.66,5.63,5.56,5.49,5.28,5.06,4.98,4.89,4.85,4.8,4.77,4.75,4.73,4.72,4.71,4.7,4.7,4.69,4.69,4.69
2020-04-12 00:00:00,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.56,6.54,6.52,6.23,5.95,5.9,5.86,5.83,5.81,5.79,5.78,5.77,5.76,5.75,5.74,5.73,5.72,5.7,5.68,5.66,5.63,5.59,5.54,5.47,5.4,5.29,5.18,5.1,5.03,4.97,4.92,4.88,4.84,4.82,4.79,4.78,4.76,4.75,4.75,4.74,4.73
