datetime,wtr_0,wtr_0.5,wtr_1,wtr_1.5,wtr_2,wtr_3,wtr_4,wtr_5,wtr_6,wtr_7,wtr_8,wtr_9,wtr_10,wtr_11,wtr_12,wtr_13,wtr_14,wtr_15,wtr_16,wtr_17,wtr_18,wtr_19,wtr_20
2020-04-03 00:00:00,4.2,4.21,4.28,4.18,4.14,4.11,4.05,4.05,4.01,3.96,3.95,3.93,3.94,3.92,3.91,3.9,3.91,3.92,3.89,3.92,3.86,3.84,4.51
2020-04-04 00:00:00,4.35,4.38,4.47,4.38,4.35,4.34,4.32,4.33,4.3,4.29,4.28,4.26,4.26,4.26,4.24,4.24,4.24,4.25,4.24,4.25,4.2,4.2,4.85
2020-04-05 00:00:00,5.18,5.15,5.18,5.03,4.97,4.91,4.89,4.89,4.85,4.81,4.8,4.8,4.78,4.77,4.73,4.72,4.7,4.7,4.68,4.67,4.62,4.58,5.2
2020-04-06 00:00:00,5.36,5.38,5.47,5.38,5.33,5.3,5.26,5.21,5.09,4.96,4.87,4.79,4.72,4.65,4.61,4.57,4.55,4.54,4.53,4.53,4.48,4.45,5.06
2020-04-07 00:00:00,5.44,5.41,5.45,5.33,5.27,5.22,5.18,5.19,5.15,5.09,5.06,5,4.95,4.86,4.74,4.65,4.58,4.53,4.49,4.49,4.4,4.36,4.96
2020-04-08 00:00:00,5.38,5.33,5.39,5.29,5.28,5.25,5.21,5.21,5.18,5.16,5.15,5.1,5.08,5.08,5.05,5.04,5.02,5.02,5.01,5,4.9,4.85,5.4
2020-04-09 00:00:00,5.41,5.42,5.51,5.43,5.42,5.42,5.41,5.42,5.4,5.38,5.37,5.36,5.35,5.33,5.32,5.31,5.3,5.3,5.28,5.3,5.24,5.21,5.8
2020-04-10 00:00:00,5.54,5.56,5.64,5.56,5.52,5.52,5.49,5.51,5.48,5.46,5.44,5.42,5.41,5.41,5.4,5.4,5.39,5.39,5.38,5.4,5.37,5.36,5.98
2020-04-11 00:00:00,5.82,5.85,5.94,5.85,5.84,5.84,5.82,5.84,5.8,5.76,5.72,5.67,5.62,5.56,5.49,5.45,5.42,5.38,5.37,5.38,5.33,5.32,5.95
2020-04-12 00:00:00,5.99,5.99,6.09,5.99,5.98,5.96,5.95,5.95,5.93,5.92,5.9,5.85,5.83,5.8,5.77,5.72,5.65,5.58,5.48,5.43,5.33,5.3,5.91
2020-04-13 00:00:00,5.75,5.78,5.86,5.78,5.76,5.78,5.76,5.79,5.77,5.76,5.76,5.75,5.76,5.76,5.75,5.75,5.75,5.75,5.73,5.76,5.7,5.69,6.31
2020-04-14 00:00:00,5.58,5.6,5.7,5.6,5.6,5.6,5.59,5.62,5.6,5.59,5.59,5.59,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.62,5.6,5.6,6.22
2020-04-15 00:00:00,5.47,5.5,5.6,5.51,5.49,5.5,5.49,5.5,5.5,5.48,5.47,5.47,5.47,5.45,5.45,5.44,5.43,5.43,5.43,5.44,5.42,5.42,6.03
2020-04-16 00:00:00,5.53,5.56,5.64,5.58,5.55,5.55,5.53,5.56,5.54,5.53,5.53,5.52,5.51,5.51,5.5,5.5,5.5,5.5,5.5,5.52,5.47,5.47,6.11
2020-04-17 00:00:00,5.82,5.8,5.83,5.67,5.63,5.6,5.57,5.57,5.55,5.54,5.54,5.53,5.53,5.53,5.52,5.52,5.52,5.52,5.52,5.53,5.5,5.5,6.13
2020-04-18 00:00:00,5.69,5.7,5.8,5.7,5.69,5.69,5.69,5.7,5.68,5.68,5.67,5.67,5.67,5.66,5.65,5.65,5.65,5.64,5.63,5.65,5.62,5.62,6.25
2020-04-19 00:00:00,6.32,6.34,6.41,6.33,6.29,6.23,6.16,6.15,6.12,6.1,6.09,6.08,6.07,6.07,6.05,6.05,6.05,6.04,6.03,6.03,5.99,5.98,6.62
2020-04-20 00:00:00,6.52,6.54,6.62,6.55,6.51,6.48,6.42,6.4,6.36,6.31,6.26,6.21,6.2,6.15,6.13,6.13,6.12,6.11,6.1,6.11,6.09,6.08,6.68
