datetime,wtr_0,wtr_0.5,wtr_1,wtr_1.5,wtr_2,wtr_2.5,wtr_3,wtr_3.5,wtr_4,wtr_4.5,wtr_5,wtr_5.5,wtr_6,wtr_6.5,wtr_7,wtr_7.5,wtr_8,wtr_8.5,wtr_9,wtr_9.5,wtr_10,wtr_10.5,wtr_11,wtr_11.5,wtr_12,wtr_12.5,wtr_13,wtr_13.5,wtr_14,wtr_14.5,wtr_15,wtr_15.5,wtr_16,wtr_16.5,wtr_17,wtr_17.5,wtr_18,wtr_18.5,wtr_19,wtr_19.5,wtr_20,wtr_20.5,wtr_21,wtr_21.5,wtr_22,wtr_22.5,wtr_23,wtr_23.5,wtr_24,wtr_24.5,wtr_25
2020-04-03 00:00:00,4.53,4.5,4.47,4.42,4.37,4.35,4.34,4.32,4.31,4.31,4.31,4.3,4.3,4.28,4.26,4.23,4.21,4.19,4.18,4.16,4.15,4.14,4.13,4.13,4.12,4.11,4.11,4.1,4.09,4.09,4.08,4.08,4.08,4.07,4.06,4.05,4.04,4.03,4.02,4.01,4,4,4,4,4,4,4,NA,NA,NA,NA
2020-04-04 00:00:00,5.36,5.35,5.35,5.34,5.33,5.32,5.3,5.28,5.24,5.19,5.15,5.08,5.02,4.97,4.91,4.86,4.81,4.76,4.71,4.67,4.63,4.58,4.54,4.5,4.46,4.41,4.37,4.33,4.3,4.26,4.23,4.21,4.18,4.17,4.15,4.13,4.12,4.11,4.1,4.09,4.09,4.08,4.08,4.07,4.07,4.07,4.07,NA,NA,NA,NA
2020-04-05 00:00:00,5.36,5.37,5.37,5.38,5.38,5.38,5.37,5.37,5.36,5.36,5.36,5.35,5.35,5.34,5.34,5.33,5.33,5.33,5.32,5.32,5.31,5.31,5.31,5.3,5.3,5.29,5.29,5.29,5.28,5.28,5.28,5.28,5.27,5.27,5.27,5.27,5.26,5.26,5.26,5.26,5.25,5.25,5.25,5.24,5.24,5.24,5.24,NA,NA,NA,NA
2020-04-06 00:00:00,6.36,6.37,6.37,6.37,6.37,6.37,6.36,6.33,6.29,6.22,6.16,6.1,6.04,5.99,5.94,5.89,5.85,5.81,5.77,5.75,5.72,5.7,5.67,5.65,5.63,5.61,5.59,5.57,5.55,5.54,5.53,5.52,5.51,5.5,5.5,5.49,5.49,5.49,5.48,5.48,5.48,5.47,5.47,5.47,5.47,5.47,5.47,5.47,NA,NA,NA
2020-04-07 00:00:00,7.28,7.28,7.28,7.28,7.27,7.26,7.23,7.2,7.14,7.05,6.96,6.87,6.8,6.73,6.66,6.6,6.54,6.48,6.42,6.38,6.34,6.3,6.26,6.22,6.19,6.16,6.12,6.08,6.04,6.01,5.99,5.97,5.95,5.93,5.92,5.91,5.9,5.89,5.89,5.88,5.88,5.87,5.87,5.86,5.86,5.86,5.85,5.85,NA,NA,NA
2020-04-08 00:00:00,8.73,8.73,8.73,8.72,8.71,8.68,8.62,8.54,8.42,8.26,8.08,7.89,7.72,7.57,7.43,7.31,7.19,7.08,6.99,6.92,6.85,6.79,6.74,6.69,6.64,6.6,6.56,6.51,6.47,6.43,6.4,6.38,6.36,6.34,6.33,6.32,6.31,6.3,6.3,6.29,6.29,6.28,6.28,6.28,6.28,6.27,6.27,6.27,6.27,NA,NA
2020-04-09 00:00:00,9.49,9.5,9.5,9.51,9.51,9.5,9.48,9.46,9.43,9.38,9.28,9.08,8.92,8.84,8.73,8.59,8.45,8.31,8.19,8.07,7.97,7.87,7.78,7.69,7.6,7.51,7.43,7.35,7.27,7.19,7.12,7.05,7,6.95,6.91,6.88,6.86,6.84,6.83,6.81,6.8,6.79,6.78,6.77,6.76,6.76,6.75,6.74,6.74,6.73,NA
2020-04-10 00:00:00,9.45,9.46,9.46,9.46,9.46,9.46,9.46,9.45,9.45,9.44,9.43,9.42,9.4,9.38,9.36,9.34,9.32,9.31,9.29,9.27,9.26,9.25,9.23,9.22,9.21,9.19,9.18,9.17,9.16,9.15,9.14,9.13,9.12,9.11,9.1,9.1,9.09,9.09,9.08,9.08,9.07,9.07,9.07,9.07,9.06,9.06,9.06,9.06,9.06,9.06,9.06
2020-04-11 00:00:00,10.44,10.44,10.44,10.44,10.44,10.44,10.44,10.43,10.41,10.39,10.36,10.32,10.28,10.23,10.19,10.16,10.13,10.1,10.07,10.04,10.02,10,9.98,9.97,9.95,9.93,9.92,9.9,9.89,9.87,9.86,9.84,9.83,9.82,9.82,9.81,9.8,9.8,9.8,9.79,9.79,9.78,9.78,9.78,9.77,9.77,9.77,9.76,9.76,9.76,9.76
2020-04-12 00:00:00,11.37,11.37,11.37,11.37,11.37,11.35,11.34,11.3,11.24,11.17,11.09,10.99,10.88,10.78,10.69,10.61,10.54,10.47,10.41,10.36,10.32,10.28,10.25,10.22,10.2,10.17,10.14,10.12,10.1,10.08,10.06,10.04,10.03,10.02,10.01,10,10,9.99,9.99,9.99,9.98,9.98,9.98,9.98,9.98,9.97,9.97,9.97,9.97,9.97,9.97
